1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	0.998	1	0.998	1	0.999	0.997	0.998	0.999	0.995	0.997	0.997	0.992	0.993	0.991	0.988	0.984	0.983	0.973	0.964	0.96	0.951	0.945	0.942	0.947	0.912	0.909	0.898	0.878	0.869	0.847	0.834	0.831	0.801	0.781	0.783	0.752	0.715	0.696	0.686	0.634	0.632	0.623	0.587	0.559	0.516	0.511	0.492	0.449	0.421	0.42	0.423	0.36	0.382	0.355	0.315	0.308	0.308	0.267	0.257	0.217	0.2	0.196	0.185	0.16	0.153	0.129	0.116	0.115	0.105	0.102	0.083	0.082	0.058	0.058	0.034	0.048	0.025	0.027	0.033	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.998	1	1	0.999	0.996	1	0.998	0.995	0.998	0.996	0.994	0.99	0.993	0.991	0.987	0.988	0.979	0.974	0.972	0.972	0.959	0.95	0.942	0.942	0.943	0.929	0.934	0.928	0.907	0.882	0.892	0.883	0.891	0.856	0.832	0.831	0.779	0.787	0.785	0.748	0.749	0.697	0.682	0.664	0.651	0.632	0.612	0.581	0.571	0.505	0.51	0.519	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.997	0.997	0.999	0.999	0.998	0.996	0.997	0.998	0.995	0.992	0.993	0.994	0.993	0.985	0.984	0.979	0.981	0.976	0.972	0.974	0.962	0.968	0.962	0.958	0.944	0.939	0.93	0.933	0.923	0.911	0.896	0.909	0.874	0.885	0.843	0.852	0.846	0.839	0.847	0.808	0.784	0.785	0.782	0.764	0.762	0.754	0.731	0.731	0.75	0.689	0.696	0.662	0.661	0.673	0.658	0.616	0.632	0.602	0.602	0.611	0.606	0.582	0.568	0.569	0.581	0.541	0.572	0.558	0.556	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	1	1	1	1	1	0.999	0.999	1	0.999	0.998	1	1	0.999	0.997	0.999	0.999	0.997	0.994	0.991	0.992	0.989	0.985	0.988	0.99	0.983	0.986	0.987	0.978	0.967	0.968	0.957	0.964	0.954	0.945	0.948	0.942	0.918	0.914	0.914	0.901	0.888	0.871	0.879	0.863	0.825	0.845	0.797	0.769	0.756	0.751	0.736	0.693	0.666	0.657	0.644	0.604	0.591	0.556	0.513	0.479	0.481	0.456	0.419	0.372	0.353	0.327	0.301	0.273	0.256	
1	0.999	0.999	0.998	0.995	0.997	0.993	0.996	0.993	0.988	0.987	0.978	0.982	0.984	0.964	0.97	0.971	0.955	0.956	0.952	0.935	0.94	0.944	0.934	0.921	0.92	0.908	0.926	0.909	0.904	0.891	0.883	0.875	0.886	0.862	0.855	0.84	0.85	0.848	0.845	0.855	0.81	0.82	0.841	0.8	0.816	0.796	0.781	0.798	0.761	0.772	0.744	0.731	0.74	0.738	0.698	0.703	0.68	0.673	0.666	0.65	0.626	0.639	0.612	0.601	0.566	0.516	0.535	0.518	0.466	0.476	0.469	0.421	0.401	0.375	0.367	0.336	0.324	0.31	0.275	0.24	0.195	0.204	0.179	0.178	0.167	0.124	0.148	0.103	0.085	0.102	0.064	0.05	0.041	0.039	0.029	0.024	0.025	0.016	0.013	
0.635	0.604	0.582	0.538	0.543	0.483	0.462	0.461	0.429	0.418	0.388	0.356	0.326	0.286	0.296	0.287	0.263	0.22	0.22	0.192	0.159	0.173	0.15	0.14	0.13	0.096	0.089	0.091	0.084	0.083	0.072	0.06	0.065	0.051	0.046	0.038	0.043	0.041	0.024	0.022	0.025	0.021	0.023	0.027	0.023	0.009	0.017	0.01	0.012	0.01	0.013	0.011	0.009	0.003	0.001	0.008	0.002	0.005	0.003	0.001	0.002	0.002	0.001	0.001	0	0	0.004	0	0	0	0	0	0	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	0.998	0.998	0.998	0.999	0.993	0.994	0.983	0.976	0.979	0.976	0.96	0.963	0.943	0.941	0.913	0.929	0.894	0.88	0.849	0.841	0.812	0.79	0.733	0.707	0.716	0.641	0.607	0.586	0.547	0.525	0.48	0.459	0.414	0.379	0.349	0.309	0.268	0.241	0.203	0.174	0.134	0.145	0.119	0.088	0.083	0.068	0.044	0.043	0.032	0.027	0.025	0.015	0.013	0.009	0.004	0.004	0.007	0.005	0.001	0.002	0	0.001	0.002	0	0	0	0	
1	1	1	0.999	0.998	1	0.999	0.994	0.998	0.994	0.991	0.998	0.991	0.994	0.993	0.988	0.987	0.992	0.983	0.978	0.975	0.974	0.972	0.968	0.954	0.965	0.958	0.95	0.951	0.942	0.952	0.942	0.939	0.932	0.92	0.922	0.915	0.867	0.878	0.893	0.869	0.877	0.863	0.863	0.842	0.841	0.844	0.833	0.802	0.813	0.78	0.781	0.785	0.781	0.77	0.746	0.723	0.716	0.698	0.715	0.686	0.661	0.63	0.626	0.641	0.622	0.6	0.58	0.576	0.557	0.53	0.529	0.521	0.496	0.469	0.452	0.451	0.449	0.429	0.415	0.377	0.358	0.336	0.359	0.302	0.322	0.306	0.288	0.259	0.275	0.251	0.216	0.204	0.171	0.186	0.192	0.151	0.134	0.134	0.117	
0.997	1	0.985	0.986	0.98	0.974	0.955	0.962	0.942	0.914	0.904	0.893	0.858	0.824	0.835	0.793	0.788	0.736	0.706	0.656	0.673	0.604	0.582	0.548	0.483	0.475	0.442	0.41	0.372	0.339	0.298	0.296	0.267	0.229	0.185	0.18	0.18	0.143	0.141	0.138	0.106	0.097	0.082	0.057	0.057	0.043	0.03	0.039	0.03	0.029	0.018	0.019	0.007	0.008	0.008	0.005	0.011	0.004	0.009	0.002	0.002	0.004	0.004	0.002	0.001	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.996	0.998	0.998	0.999	0.997	0.998	0.991	0.997	0.989	0.993	0.984	0.987	0.981	0.984	0.983	0.972	0.971	0.95	0.953	0.939	0.941	0.94	0.927	0.918	0.906	0.896	0.891	0.858	0.878	0.866	0.847	0.82	0.789	0.784	0.799	0.739	0.717	0.721	0.711	0.685	0.632	0.605	0.627	0.553	0.537	0.511	0.513	0.475	0.434	0.423	0.379	0.414	0.343	0.338	0.328	0.292	0.285	0.228	0.208	0.211	0.184	0.176	0.176	0.141	0.134	0.115	0.105	0.083	0.074	0.067	
