1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.998	1	0.999	0.999	0.996	0.998	0.995	0.99	0.99	0.993	0.993	0.985	0.979	0.981	0.979	0.971	0.968	0.95	0.947	0.928	0.916	0.92	0.88	0.887	0.869	0.854	0.853	0.855	0.813	0.779	0.757	0.735	0.722	0.688	0.667	0.629	0.591	0.563	0.512	0.493	0.472	0.447	0.379	0.359	0.376	0.339	0.295	0.236	0.262	0.21	0.169	0.175	0.161	0.129	0.119	0.088	0.084	0.065	0.057	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.998	1	1	0.999	1	1	1	1	0.998	0.999	0.998	0.997	0.998	0.998	0.999	0.998	0.997	0.999	0.993	0.995	0.99	0.991	0.992	0.984	0.981	0.989	0.979	0.976	0.983	0.973	0.977	0.958	0.971	0.953	0.95	0.946	0.933	0.93	0.916	0.928	0.891	0.878	0.878	0.875	0.84	0.839	0.825	0.803	0.814	0.76	0.744	0.724	0.705	0.678	0.658	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	0.999	1	1	0.997	0.999	0.996	0.997	0.998	0.995	0.995	0.996	0.994	0.993	0.992	0.992	0.99	0.987	0.987	0.984	0.974	0.978	0.97	0.966	0.962	0.96	0.959	0.948	0.953	0.942	0.947	0.942	0.937	0.934	0.935	0.925	0.921	0.924	0.891	0.9	0.887	0.886	0.888	0.898	0.867	0.883	0.886	0.87	0.866	0.872	0.855	0.857	0.871	0.849	0.829	0.841	0.859	0.835	0.839	0.831	0.852	0.843	0.828	0.857	0.835	0.854	0.833	0.806	0.835	0.826	0.839	0.812	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	0.998	0.999	0.995	0.998	0.999	0.997	0.995	0.991	0.986	0.985	0.982	0.981	0.98	0.97	0.963	0.97	0.958	0.957	0.949	0.933	0.924	0.899	0.885	0.867	0.842	0.846	0.814	0.808	0.805	0.761	0.756	0.72	0.697	0.67	0.651	0.635	0.551	0.56	0.541	0.512	0.491	0.462	0.442	0.392	0.375	0.335	0.326	0.301	0.282	0.233	0.223	0.178	0.202	0.185	0.159	0.115	0.114	0.1	0.097	0.091	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	0.999	0.999	1	0.999	1	0.997	0.996	0.996	0.993	0.987	0.988	0.984	0.983	0.971	0.977	0.973	0.968	0.951	0.941	0.939	0.945	0.926	0.916	0.886	0.873	0.892	0.848	0.839	0.812	0.807	0.787	0.759	0.732	0.723	0.695	0.657	0.624	0.587	0.561	0.543	0.481	0.47	0.453	0.431	0.365	0.38	0.336	0.307	0.263	0.252	0.238	0.203	0.195	0.182	0.16	0.126	0.089	0.117	0.101	0.072	0.071	0.062	0.058	0.037	0.029	0.025	0.025	0.019	0.02	0.01	0.014	0.007	0.003	0.003	0	
0.797	0.744	0.718	0.623	0.578	0.52	0.49	0.428	0.362	0.34	0.289	0.279	0.2	0.201	0.196	0.18	0.148	0.13	0.108	0.118	0.093	0.093	0.084	0.071	0.054	0.047	0.06	0.051	0.034	0.031	0.028	0.026	0.023	0.026	0.018	0.019	0.011	0.012	0.011	0.011	0.001	0.003	0.005	0.005	0.005	0.001	0.002	0.003	0.003	0.005	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	0.999	0.997	0.996	0.993	0.991	0.988	0.984	0.979	0.969	0.964	0.954	0.954	0.915	0.906	0.895	0.862	0.876	0.829	0.802	0.787	0.786	0.74	0.694	0.682	0.614	0.631	0.585	0.542	0.535	0.468	0.459	0.41	0.406	0.383	0.367	0.308	0.292	0.28	0.259	0.211	0.179	0.197	0.167	0.143	0.127	0.117	0.119	0.106	0.078	0.085	0.073	0.063	0.064	0.054	0.047	0.031	0.04	0.029	0.022	0.015	0.022	0.016	0.013	0.01	0.005	0.007	0.005	0.01	0.002	0.004	0.003	0.002	0.001	0	0.002	0.001	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.998	0.997	0.999	0.996	0.996	0.996	0.995	0.997	0.996	0.988	0.992	0.979	0.981	0.979	0.974	0.97	0.96	0.952	0.951	0.946	0.932	0.92	0.917	0.909	0.893	0.874	0.861	0.845	0.837	0.825	0.809	0.791	0.773	0.754	0.736	0.714	0.681	0.684	0.648	0.61	0.628	0.565	0.534	0.521	0.525	0.47	0.481	0.43	0.389	0.41	0.364	0.32	0.357	0.298	0.318	0.264	0.239	0.236	0.222	0.205	0.207	0.164	0.161	0.16	0.128	0.103	0.111	0.097	0.092	0.08	0.065	0.052	0.047	0.045	0.04	0.028	0.029	0.026	0.02	0.021	0.016	0.014	0.005	0.01	0.008	0.006	
0.846	0.824	0.799	0.759	0.759	0.716	0.695	0.687	0.634	0.589	0.58	0.569	0.512	0.475	0.45	0.419	0.37	0.324	0.279	0.261	0.247	0.214	0.185	0.167	0.15	0.134	0.132	0.119	0.099	0.099	0.088	0.094	0.095	0.064	0.06	0.054	0.063	0.051	0.042	0.037	0.03	0.037	0.031	0.022	0.021	0.022	0.02	0.017	0.012	0.017	0.012	0.012	0.01	0.012	0.006	0.007	0.003	0.005	0.002	0.004	0.005	0.001	0	0	0.002	0	0.002	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	0.999	0.999	1	1	0.994	0.996	0.994	0.988	0.994	0.983	0.984	0.982	0.976	0.969	0.972	0.96	0.96	0.95	0.948	0.922	0.917	0.883	0.892	0.897	0.881	0.863	0.822	0.814	0.785	0.752	0.765	0.741	0.719	0.708	0.648	0.647	0.614	0.587	0.578	0.536	0.518	0.47	0.457	0.433	0.43	0.377	0.345	0.309	0.308	0.298	0.278	0.26	0.22	0.207	0.186	0.151	0.136	0.138	0.108	0.088	0.099	0.076	0.071	0.05	0.057	0.039	0.028	0.028	
