1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.998	0.998	0.997	0.996	0.998	0.997	0.995	0.993	0.993	0.989	0.989	0.988	0.989	0.981	0.977	0.976	0.977	0.976	0.958	0.96	0.953	0.952	0.931	0.947	0.923	0.919	0.916	0.889	0.859	0.86	0.867	0.819	0.825	0.789	0.794	0.726	0.731	0.731	0.688	0.674	0.645	0.634	0.587	0.557	0.566	0.568	0.532	0.473	0.448	0.397	0.361	0.403	0.355	0.331	0.292	0.279	0.246	0.216	0.221	0.206	0.171	0.155	0.144	0.121	0.114	0.074	0.077	0.06	0.08	0.049	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	1	1	1	1	1	0.998	0.999	1	0.999	0.998	1	0.999	0.998	1	0.996	0.995	0.997	0.995	0.994	0.995	0.996	0.995	0.994	0.988	0.987	0.982	0.98	0.981	0.982	0.974	0.972	0.97	0.964	0.968	0.954	0.954	0.943	0.939	0.928	0.928	0.905	0.9	0.896	0.87	0.889	0.877	0.834	0.839	0.826	0.828	0.786	0.779	0.796	0.774	0.755	
1	1	1	1	1	1	1	1	1	1	1	0.998	1	0.999	1	1	1	0.999	1	0.997	0.997	0.998	0.993	0.995	0.994	0.995	0.995	0.992	0.988	0.987	0.987	0.981	0.972	0.983	0.976	0.972	0.969	0.963	0.965	0.941	0.967	0.946	0.941	0.928	0.905	0.893	0.905	0.884	0.875	0.85	0.841	0.844	0.835	0.815	0.78	0.791	0.786	0.751	0.761	0.72	0.718	0.712	0.699	0.659	0.638	0.634	0.64	0.59	0.607	0.595	0.551	0.544	0.536	0.529	0.449	0.507	0.517	0.457	0.438	0.455	0.458	0.404	0.405	0.411	0.369	0.36	0.354	0.377	0.329	0.299	0.334	0.331	0.329	0.304	0.318	0.308	0.313	0.277	0.311	0.312	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	0.999	1	0.999	0.998	0.999	0.999	0.996	0.999	0.995	0.998	0.995	0.991	0.986	0.986	0.982	0.982	0.982	0.976	0.964	0.957	0.971	0.955	0.942	0.952	0.929	0.925	0.909	0.905	0.877	0.86	0.869	0.831	0.836	0.805	0.773	0.768	0.736	0.755	0.731	0.673	0.702	0.623	0.646	0.613	0.591	0.568	0.51	0.51	0.499	0.463	0.43	0.429	0.372	0.372	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.998	0.998	0.999	0.995	0.994	0.989	0.992	0.983	0.985	0.982	0.963	0.96	0.957	0.959	0.938	0.939	0.933	0.909	0.911	0.894	0.866	0.855	0.847	0.81	0.788	0.763	0.734	0.741	0.686	0.665	0.627	0.618	0.6	0.583	0.505	0.512	0.483	0.424	0.416	0.387	0.367	0.334	0.317	0.266	0.271	0.221	0.206	0.194	0.168	0.146	0.12	0.113	0.09	0.09	0.057	0.056	0.041	0.037	0.027	
0.305	0.262	0.244	0.239	0.194	0.17	0.162	0.163	0.139	0.143	0.115	0.12	0.1	0.094	0.086	0.08	0.068	0.071	0.048	0.061	0.047	0.05	0.05	0.041	0.043	0.041	0.03	0.023	0.03	0.02	0.024	0.023	0.024	0.024	0.023	0.011	0.02	0.022	0.013	0.01	0.013	0.02	0.012	0.012	0.007	0.006	0.008	0.008	0.007	0.007	0.008	0.008	0.009	0.002	0.005	0.005	0.004	0.003	0.004	0.003	0.003	0.006	0.004	0.001	0.004	0.001	0.004	0.003	0.004	0	0.002	0.001	0	0.002	0	0.002	0.004	0.001	0	0.002	0.001	0	0	0	0.002	0	0	0.001	0	0.001	0.001	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	1	1	0.999	0.998	0.996	0.996	0.995	0.996	0.992	0.995	0.991	0.993	0.983	0.978	0.98	0.974	0.967	0.967	0.955	0.931	0.948	0.938	0.921	0.919	0.91	0.874	0.863	0.857	0.85	0.828	0.812	0.769	0.788	0.767	0.736	0.705	0.649	0.651	0.612	0.583	0.554	0.545	0.527	0.507	0.471	0.422	0.388	0.38	0.341	0.344	0.293	0.307	0.279	0.236	0.22	0.19	0.169	0.177	0.153	0.124	0.125	0.111	0.073	0.076	0.051	0.056	0.041	0.039	0.031	0.026	0.032	0.019	0.018	0.019	0.009	0.007	0.003	0.006	0.003	0.005	0	0.003	0	0.001	0.001	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997	0.998	1	0.998	0.993	0.992	0.993	0.99	0.99	0.99	0.985	0.979	0.99	0.979	0.971	0.97	0.976	0.95	0.95	0.938	0.929	0.92	0.925	0.904	0.899	0.908	0.875	0.873	0.856	0.858	0.83	0.829	0.817	0.793	0.794	0.798	0.777	0.758	0.763	0.744	0.729	0.725	0.692	0.669	0.661	0.635	0.635	0.591	0.601	0.559	0.542	0.527	0.522	0.505	0.446	0.443	0.43	0.4	0.391	0.392	0.352	0.35	0.341	0.323	0.297	0.267	0.246	0.213	0.219	0.173	0.18	0.163	0.142	0.142	0.14	0.121	0.118	0.101	0.079	0.083	0.084	
0.771	0.713	0.708	0.635	0.654	0.615	0.606	0.609	0.571	0.55	0.488	0.512	0.508	0.495	0.439	0.454	0.432	0.405	0.417	0.38	0.368	0.358	0.356	0.348	0.359	0.313	0.296	0.293	0.286	0.273	0.267	0.253	0.236	0.243	0.237	0.223	0.199	0.198	0.194	0.158	0.177	0.167	0.183	0.142	0.169	0.122	0.123	0.121	0.121	0.1	0.099	0.111	0.076	0.085	0.063	0.064	0.06	0.051	0.047	0.028	0.036	0.038	0.033	0.027	0.037	0.019	0.021	0.029	0.008	0.008	0.01	0.009	0.006	0.003	0.01	0.005	0	0.002	0.002	0.002	0.003	0.002	0.002	0	0.001	0.002	0.001	0.001	0	0	0.001	0	0.003	0	0	0	0	0	0.001	0.001	
0.998	0.997	0.996	0.992	0.986	0.987	0.982	0.975	0.961	0.961	0.951	0.945	0.94	0.934	0.927	0.926	0.919	0.907	0.927	0.905	0.904	0.904	0.917	0.904	0.87	0.877	0.875	0.882	0.872	0.866	0.861	0.857	0.841	0.837	0.846	0.837	0.814	0.819	0.817	0.799	0.777	0.801	0.763	0.783	0.747	0.754	0.729	0.723	0.71	0.728	0.707	0.721	0.667	0.655	0.643	0.648	0.658	0.614	0.6	0.569	0.556	0.553	0.52	0.511	0.473	0.489	0.468	0.444	0.452	0.435	0.37	0.38	0.372	0.358	0.317	0.347	0.291	0.288	0.308	0.275	0.244	0.221	0.221	0.209	0.206	0.193	0.155	0.147	0.139	0.148	0.118	0.108	0.117	0.104	0.084	0.073	0.089	0.072	0.072	0.056	
