1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.999	1	0.999	0.999	0.998	0.994	0.99	0.983	0.98	0.975	0.968	0.965	0.962	0.945	0.929	0.938	0.903	0.872	0.886	0.853	0.832	0.817	0.79	0.766	0.723	0.725	0.675	0.641	0.633	0.577	0.568	0.551	0.474	0.462	0.442	0.429	0.415	0.368	0.359	0.299	0.311	0.282	0.261	0.249	0.232	0.222	0.201	0.184	0.17	0.161	0.132	0.145	0.118	0.11	0.119	0.098	0.083	0.079	0.071	0.077	0.074	0.053	0.051	0.036	0.034	0.039	0.023	0.026	0.027	0.022	0.015	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	1	0.997	1	0.998	0.997	0.996	0.999	0.995	0.998	0.995	0.991	0.986	0.98	0.984	0.983	0.978	0.972	0.974	0.96	0.965	0.968	0.957	0.943	0.928	0.919	0.924	0.914	0.915	0.902	0.879	0.883	0.873	0.865	0.854	0.839	0.828	0.796	0.799	0.808	0.776	0.758	0.723	0.738	0.711	0.69	0.711	0.65	0.683	0.636	0.64	0.618	0.615	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.998	0.998	0.998	0.997	0.998	0.999	0.999	0.995	0.995	0.99	0.995	0.985	0.98	0.984	0.966	0.972	0.953	0.935	0.94	0.933	0.909	0.89	0.905	0.87	0.845	0.829	0.828	0.789	0.772	0.737	0.708	0.709	0.709	0.692	0.646	0.635	0.65	0.629	0.589	0.606	0.571	0.542	0.545	0.556	0.526	0.515	0.511	0.503	0.5	0.486	0.493	0.453	0.46	0.451	0.438	0.438	0.446	0.439	0.427	0.433	0.422	0.444	0.436	0.437	0.461	0.426	0.434	0.414	0.425	0.437	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	0.999	0.998	0.997	0.994	0.997	0.992	0.994	0.99	0.988	0.989	0.985	0.98	0.971	0.982	0.972	0.97	0.959	0.955	0.955	0.943	0.942	0.932	0.929	0.889	0.898	0.881	0.889	0.834	0.867	0.837	0.816	0.816	0.802	0.776	0.735	0.755	0.715	0.723	0.685	0.683	0.65	0.622	0.641	0.604	0.577	0.552	0.517	0.479	0.481	0.472	0.436	0.375	0.396	0.372	0.365	0.355	0.312	0.301	0.293	0.286	0.254	0.242	0.217	0.201	0.171	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997	1	1	0.999	0.999	0.997	0.996	0.995	0.989	0.99	0.982	0.989	0.981	0.975	0.956	0.953	0.947	0.945	0.926	0.912	0.91	0.887	0.864	0.855	0.846	0.814	0.756	0.781	0.727	0.703	0.688	0.662	0.621	0.64	0.549	0.551	0.492	0.505	0.483	0.412	0.39	0.383	0.343	0.337	0.297	0.294	0.246	0.239	0.22	0.174	0.151	0.16	0.15	0.123	0.106	0.094	0.078	0.084	0.056	0.05	0.045	0.043	0.042	0.032	0.035	0.025	0.021	0.022	0.022	0.015	0.017	0.01	0.009	0.006	0.005	0.005	
0.009	0.007	0.002	0.006	0.002	0.005	0.006	0	0.004	0.003	0.001	0.001	0	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0	0.001	0.001	0.001	0.001	0.001	0	0.001	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0.001	0.001	0.002	0	0	0	0	0	0	0	0	0	0.001	0	0	0.002	0	0.001	0.001	0	0	0	0	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0	
0.996	0.99	0.982	0.981	0.967	0.958	0.922	0.898	0.859	0.818	0.8	0.726	0.688	0.66	0.582	0.544	0.521	0.458	0.393	0.365	0.326	0.293	0.259	0.206	0.184	0.149	0.132	0.121	0.099	0.074	0.069	0.076	0.062	0.042	0.044	0.019	0.029	0.017	0.02	0.009	0.018	0.008	0.013	0.012	0.009	0.009	0.006	0.004	0.005	0.002	0.001	0.002	0.001	0.001	0	0.002	0.002	0	0	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	0.999	0.999	0.996	0.998	0.998	0.998	0.995	0.996	0.99	0.988	0.975	0.979	0.976	0.976	0.975	0.968	0.966	0.952	0.939	0.928	0.922	0.913	0.917	0.912	0.859	0.869	0.836	0.839	0.81	0.803	0.789	0.773	0.731	0.741	0.707	0.643	0.651	0.605	0.601	0.605	0.586	0.548	0.533	0.506	0.474	0.476	0.435	0.379	0.415	0.354	0.367	0.309	0.31	0.284	0.255	0.22	
0.669	0.615	0.565	0.441	0.383	0.31	0.243	0.178	0.149	0.107	0.061	0.048	0.034	0.025	0.018	0.012	0.011	0.006	0.003	0.008	0.003	0.002	0.003	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	0.998	0.995	0.995	0.995	0.994	0.991	0.994	0.981	0.976	0.97	0.967	0.961	0.946	0.945	0.922	0.91	0.903	0.87	0.837	0.841	0.793	0.777	0.719	0.733	0.694	0.64	0.635	0.6	0.56	0.537	0.497	0.465	0.447	0.438	0.394	0.37	0.323	0.313	0.347	0.283	0.267	0.283	0.256	0.228	0.244	0.218	0.218	0.168	0.175	0.18	0.133	0.136	0.128	0.138	0.105	0.089	0.075	0.088	0.083	0.082	0.071	0.069	0.068	0.058	0.042	0.054	0.046	0.046	0.032	0.03	0.033	
