0.805	0.789	0.791	0.796	0.745	0.709	0.706	0.669	0.66	0.636	0.598	0.575	0.538	0.527	0.499	0.489	0.48	0.455	0.443	0.396	0.398	0.361	0.359	0.373	0.32	0.319	0.319	0.301	0.287	0.262	0.272	0.243	0.263	0.24	0.233	0.204	0.198	0.207	0.192	0.204	0.174	0.178	0.158	0.173	0.176	0.136	0.142	0.145	0.142	0.131	0.135	0.131	0.12	0.11	0.114	0.125	0.086	0.103	0.108	0.081	0.092	0.086	0.096	0.078	0.083	0.075	0.069	0.081	0.071	0.069	0.074	0.048	0.048	0.055	0.045	0.055	0.044	0.054	0.041	0.04	0.044	0.038	0.036	0.026	0.033	0.03	0.026	0.025	0.037	0.017	0.02	0.018	0.008	0.015	0.016	0.015	0.012	0.008	0.011	0.008	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	0.999	0.998	0.999	0.997	0.995	0.994	0.997	0.994	0.993	0.986	0.991	0.991	0.987	0.988	0.981	0.965	0.971	0.97	0.958	0.956	0.955	0.946	0.951	0.933	0.944	0.919	0.902	0.916	0.89	0.891	0.864	0.858	0.844	0.842	0.821	0.843	0.798	0.775	0.781	0.747	0.759	0.722	0.717	0.709	0.714	0.679	0.697	0.63	0.631	0.611	0.598	0.591	0.58	0.56	0.545	0.572	0.549	0.522	0.506	0.498	0.52	0.485	0.475	0.484	0.439	0.423	0.44	0.458	0.44	0.448	0.409	0.429	0.441	0.372	0.397	0.431	0.382	0.402	0.417	0.358	0.353	0.363	0.393	
0.923	0.922	0.897	0.896	0.895	0.889	0.846	0.87	0.841	0.821	0.849	0.838	0.816	0.802	0.794	0.801	0.816	0.777	0.762	0.78	0.772	0.764	0.736	0.752	0.708	0.689	0.693	0.691	0.686	0.677	0.646	0.665	0.648	0.644	0.613	0.592	0.602	0.568	0.569	0.596	0.581	0.553	0.551	0.514	0.532	0.514	0.518	0.506	0.463	0.474	0.458	0.455	0.473	0.424	0.441	0.433	0.42	0.399	0.387	0.386	0.403	0.367	0.376	0.398	0.387	0.395	0.378	0.32	0.349	0.34	0.352	0.315	0.317	0.308	0.31	0.324	0.305	0.312	0.338	0.307	0.307	0.304	0.282	0.303	0.287	0.309	0.301	0.286	0.274	0.284	0.286	0.29	0.271	0.267	0.249	0.268	0.253	0.268	0.275	0.279	
0.991	0.989	0.97	0.965	0.953	0.951	0.909	0.897	0.893	0.867	0.851	0.84	0.811	0.81	0.763	0.739	0.742	0.734	0.717	0.689	0.661	0.669	0.621	0.615	0.622	0.58	0.6	0.584	0.546	0.537	0.51	0.539	0.482	0.476	0.43	0.434	0.426	0.395	0.376	0.394	0.358	0.318	0.313	0.299	0.259	0.256	0.28	0.242	0.217	0.225	0.173	0.189	0.176	0.148	0.151	0.125	0.109	0.117	0.104	0.101	0.082	0.073	0.073	0.041	0.046	0.044	0.046	0.041	0.033	0.036	0.03	0.024	0.025	0.019	0.014	0.012	0.019	0.012	0.012	0.012	0.008	0.01	0.005	0.006	0.004	0.003	0.002	0.006	0.002	0.001	0.003	0.002	0.001	0	0.002	0.001	0.001	0	0.002	0.001	
1	1	0.999	0.999	1	1	1	0.999	0.998	0.999	0.998	0.999	0.998	0.995	0.995	0.994	0.995	0.995	0.994	0.993	0.988	0.985	0.991	0.985	0.979	0.989	0.984	0.979	0.983	0.984	0.972	0.964	0.979	0.975	0.966	0.97	0.977	0.955	0.956	0.949	0.962	0.944	0.95	0.939	0.949	0.937	0.948	0.932	0.932	0.933	0.92	0.899	0.91	0.888	0.902	0.899	0.906	0.876	0.884	0.87	0.87	0.874	0.887	0.857	0.843	0.834	0.844	0.838	0.807	0.793	0.77	0.789	0.771	0.779	0.764	0.72	0.74	0.73	0.709	0.679	0.684	0.694	0.632	0.639	0.625	0.626	0.583	0.586	0.553	0.582	0.535	0.532	0.52	0.502	0.463	0.489	0.448	0.431	0.446	0.391	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	0.997	0.999	0.999	0.995	0.997	0.991	0.985	0.994	0.988	0.988	0.988	0.988	0.986	0.975	0.978	0.981	0.975	0.979	0.97	0.978	0.961	0.97	0.956	0.954	0.946	0.959	0.938	0.942	0.948	0.939	0.944	0.94	0.931	0.935	0.938	0.926	0.916	0.924	0.933	0.939	0.92	0.905	0.922	0.893	0.913	0.902	0.908	0.898	0.904	0.911	0.874	0.871	0.888	0.869	0.875	0.888	0.838	0.861	0.837	0.86	0.857	0.819	0.821	0.805	0.798	0.791	0.806	0.767	0.771	0.758	0.715	0.707	0.708	
0.96	0.963	0.932	0.906	0.918	0.89	0.85	0.82	0.797	0.749	0.709	0.698	0.665	0.63	0.58	0.555	0.499	0.478	0.449	0.429	0.399	0.358	0.342	0.294	0.284	0.241	0.232	0.208	0.212	0.167	0.167	0.176	0.147	0.142	0.152	0.119	0.125	0.111	0.099	0.113	0.089	0.086	0.076	0.075	0.08	0.066	0.061	0.069	0.065	0.071	0.054	0.058	0.05	0.065	0.042	0.047	0.047	0.042	0.054	0.047	0.058	0.042	0.052	0.049	0.04	0.043	0.042	0.035	0.047	0.041	0.037	0.041	0.031	0.043	0.028	0.037	0.036	0.034	0.039	0.03	0.033	0.034	0.041	0.024	0.033	0.022	0.026	0.037	0.034	0.04	0.027	0.034	0.035	0.026	0.036	0.026	0.029	0.038	0.021	0.028	
1	1	1	1	1	1	1	0.998	1	0.998	0.999	0.998	0.996	0.986	0.989	0.98	0.98	0.981	0.975	0.954	0.958	0.944	0.934	0.918	0.917	0.89	0.866	0.865	0.829	0.815	0.82	0.756	0.772	0.768	0.695	0.703	0.653	0.642	0.571	0.568	0.541	0.51	0.468	0.454	0.461	0.387	0.366	0.359	0.317	0.282	0.25	0.24	0.176	0.181	0.163	0.152	0.126	0.102	0.105	0.109	0.072	0.056	0.065	0.04	0.035	0.03	0.022	0.022	0.019	0.016	0.008	0.011	0.009	0.005	0.005	0.008	0.005	0.002	0.005	0.005	0	0.001	0.002	0.001	0	0.003	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	1	1	1	0.997	0.999	0.996	0.999	0.996	0.993	0.994	0.988	0.987	0.993	0.982	0.979	0.982	0.966	0.956	0.949	0.96	0.937	0.905	0.907	0.903	0.864	0.861	0.841	0.813	0.803	0.784	0.759	0.715	0.707	0.651	0.645	0.611	0.589	0.529	0.501	0.499	0.46	0.424	0.369	0.357	0.289	0.307	0.278	0.228	0.21	0.184	0.156	0.148	0.111	0.088	0.094	0.077	0.064	0.071	0.042	
0.997	1	1	0.994	0.997	0.994	0.999	0.992	0.984	0.981	0.987	0.976	0.968	0.968	0.932	0.936	0.921	0.913	0.908	0.87	0.863	0.856	0.845	0.818	0.795	0.771	0.746	0.712	0.727	0.702	0.695	0.649	0.627	0.617	0.591	0.599	0.564	0.525	0.549	0.478	0.497	0.44	0.467	0.441	0.41	0.423	0.407	0.384	0.39	0.37	0.343	0.32	0.35	0.339	0.322	0.271	0.301	0.293	0.273	0.264	0.267	0.26	0.237	0.225	0.234	0.218	0.211	0.239	0.216	0.221	0.205	0.202	0.209	0.183	0.172	0.179	0.16	0.162	0.163	0.168	0.134	0.146	0.14	0.125	0.129	0.113	0.108	0.104	0.11	0.086	0.086	0.074	0.073	0.073	0.067	0.057	0.058	0.052	0.043	0.029	
