1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	0.999	1	1	0.999	0.997	0.997	0.996	0.994	0.994	0.989	0.993	0.98	0.98	0.979	0.967	0.969	0.962	0.95	0.944	0.938	0.934	0.938	0.918	0.903	0.894	0.877	0.893	0.889	0.874	0.846	0.853	0.823	0.838	0.829	0.794	0.779	0.808	0.75	0.757	0.765	0.732	0.745	0.722	0.74	0.71	0.683	0.672	0.663	0.654	0.615	0.622	0.604	0.581	0.568	0.54	0.528	0.506	0.495	0.447	0.458	0.429	0.429	0.405	0.379	0.351	0.328	0.32	0.318	0.275	0.257	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	0.999	0.999	1	1	0.999	1	0.999	0.998	0.995	0.999	0.998	0.994	0.995	0.996	0.992	0.99	0.989	0.991	0.989	0.978	0.974	0.974	0.966	0.954	0.937	0.937	0.934	0.906	0.913	0.892	0.874	0.851	0.823	0.808	0.776	0.766	0.758	0.693	0.669	0.648	0.597	0.609	0.528	0.497	0.503	0.439	0.426	0.373	0.332	0.334	0.306	0.275	
0.999	0.997	0.999	0.998	0.998	0.995	0.996	0.996	0.998	0.996	0.989	0.993	0.991	0.987	0.987	0.984	0.973	0.973	0.972	0.968	0.958	0.957	0.963	0.952	0.947	0.932	0.933	0.92	0.918	0.917	0.909	0.908	0.904	0.913	0.911	0.902	0.888	0.88	0.884	0.86	0.86	0.889	0.876	0.857	0.873	0.868	0.875	0.849	0.861	0.848	0.858	0.878	0.856	0.855	0.836	0.833	0.837	0.832	0.832	0.832	0.832	0.819	0.822	0.825	0.802	0.759	0.781	0.74	0.759	0.75	0.771	0.724	0.701	0.686	0.678	0.641	0.633	0.628	0.614	0.576	0.571	0.555	0.499	0.506	0.462	0.47	0.446	0.429	0.369	0.352	0.31	0.316	0.288	0.247	0.216	0.2	0.19	0.17	0.155	0.134	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.995	0.998	0.998	1	0.998	0.997	0.997	0.995	0.992	0.988	0.981	0.98	0.983	0.983	0.983	0.968	0.97	0.963	0.948	0.954	0.944	0.934	0.92	0.917	0.893	0.886	0.887	0.843	0.856	0.823	0.806	0.796	0.76	0.76	0.72	0.677	0.652	0.627	0.606	0.588	0.543	0.509	0.483	0.435	0.402	0.399	0.365	0.348	0.297	0.27	0.228	0.204	0.171	0.154	0.148	0.13	0.109	0.103	0.083	0.059	0.044	0.043	0.036	0.026	0.027	0.023	0.014	0.012	0.011	0.004	0.006	0.003	0.002	0.001	0	0.002	0.003	0.001	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.998	0.997	0.996	0.999	0.996	0.994	0.995	0.995	0.995	0.995	0.992	0.989	0.985	0.994	0.994	0.986	0.983	0.98	0.975	0.982	0.973	0.971	0.959	0.951	0.937	0.946	0.948	0.921	0.916	0.9	0.892	0.901	0.879	0.877	0.868	0.843	0.829	0.807	0.784	0.774	0.744	0.756	0.735	0.739	0.713	0.658	0.631	0.63	0.599	0.555	0.544	0.518	0.528	0.477	0.454	0.454	0.415	0.392	0.359	0.342	0.325	0.298	0.287	0.255	0.231	0.222	0.193	0.209	0.162	0.16	0.16	0.12	0.111	0.119	0.094	0.107	0.07	0.068	0.066	0.053	
0.853	0.855	0.861	0.827	0.85	0.856	0.829	0.855	0.84	0.837	0.838	0.845	0.842	0.845	0.839	0.827	0.834	0.839	0.839	0.816	0.815	0.81	0.816	0.823	0.836	0.793	0.81	0.797	0.793	0.805	0.814	0.81	0.799	0.799	0.779	0.79	0.792	0.78	0.799	0.772	0.804	0.759	0.774	0.764	0.777	0.782	0.762	0.754	0.781	0.762	0.748	0.757	0.741	0.754	0.753	0.754	0.749	0.732	0.731	0.754	0.726	0.743	0.715	0.731	0.727	0.714	0.698	0.688	0.678	0.671	0.687	0.684	0.64	0.645	0.632	0.603	0.618	0.597	0.578	0.577	0.55	0.534	0.513	0.498	0.481	0.457	0.442	0.393	0.39	0.386	0.353	0.33	0.334	0.31	0.268	0.269	0.244	0.221	0.233	0.164	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	0.996	0.997	0.996	0.992	0.995	0.985	0.988	0.985	0.974	0.976	0.983	0.976	0.959	0.969	0.962	0.95	0.931	0.928	0.91	0.917	0.897	0.876	0.876	0.842	0.846	0.829	0.795	0.78	0.754	0.794	0.744	0.731	0.703	0.689	0.658	0.644	0.626	0.614	0.594	0.583	0.551	0.561	0.495	0.491	0.465	0.452	0.439	0.406	0.4	0.367	0.378	0.364	0.352	0.323	0.288	0.277	0.285	0.255	0.238	0.263	
1	1	1	0.999	0.998	0.996	0.999	0.992	0.994	0.992	0.988	0.981	0.977	0.97	0.966	0.965	0.939	0.946	0.94	0.925	0.898	0.893	0.896	0.855	0.843	0.848	0.818	0.826	0.796	0.782	0.749	0.731	0.729	0.734	0.703	0.683	0.677	0.686	0.664	0.646	0.655	0.609	0.608	0.584	0.605	0.551	0.54	0.519	0.55	0.515	0.491	0.502	0.508	0.47	0.496	0.459	0.481	0.438	0.438	0.436	0.443	0.417	0.401	0.371	0.382	0.35	0.321	0.308	0.324	0.325	0.32	0.281	0.261	0.232	0.232	0.217	0.211	0.181	0.182	0.186	0.138	0.136	0.138	0.122	0.12	0.094	0.099	0.078	0.082	0.07	0.065	0.047	0.032	0.046	0.031	0.032	0.03	0.031	0.017	0.018	
1	1	0.998	0.999	0.999	0.999	0.999	0.997	0.998	0.994	0.995	0.989	0.985	0.993	0.982	0.981	0.977	0.976	0.972	0.961	0.969	0.968	0.952	0.942	0.943	0.939	0.955	0.934	0.923	0.927	0.927	0.914	0.91	0.919	0.909	0.904	0.887	0.906	0.867	0.89	0.907	0.877	0.892	0.887	0.896	0.881	0.889	0.883	0.877	0.886	0.867	0.872	0.878	0.888	0.893	0.877	0.9	0.859	0.895	0.903	0.888	0.896	0.906	0.903	0.894	0.9	0.911	0.911	0.898	0.909	0.92	0.919	0.907	0.9	0.911	0.918	0.919	0.932	0.912	0.912	0.9	0.907	0.897	0.908	0.856	0.883	0.864	0.866	0.829	0.831	0.829	0.827	0.795	0.772	0.756	0.757	0.747	0.686	0.669	0.682	
1	1	1	0.999	0.999	1	1	0.998	0.999	1	0.997	0.997	0.996	0.996	0.992	0.994	0.982	0.982	0.977	0.985	0.968	0.963	0.958	0.926	0.94	0.921	0.914	0.884	0.872	0.841	0.843	0.814	0.81	0.775	0.783	0.727	0.707	0.68	0.646	0.635	0.582	0.589	0.57	0.513	0.532	0.497	0.462	0.465	0.41	0.415	0.382	0.338	0.328	0.322	0.258	0.275	0.254	0.225	0.225	0.199	0.178	0.134	0.168	0.135	0.109	0.096	0.09	0.083	0.072	0.074	0.06	0.071	0.04	0.039	0.035	0.032	0.031	0.03	0.019	0.026	0.019	0.015	0.017	0.005	0.011	0.005	0.009	0.004	0.007	0.007	0.002	0.002	0.004	0.003	0.002	0.002	0.001	0.005	0.003	0.001	
