1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	0.996	0.995	0.997	0.997	0.995	0.994	0.989	0.99	0.987	0.975	0.977	0.965	0.962	0.967	0.956	0.956	0.936	0.933	0.92	0.905	0.892	0.87	0.873	0.863	0.839	0.811	0.812	0.794	0.765	0.731	0.722	0.694	0.662	0.621	0.629	0.594	0.572	0.535	0.541	0.506	0.442	0.449	0.395	0.388	0.365	0.329	0.325	0.292	0.25	0.254	0.212	0.206	0.174	0.157	0.15	0.129	0.112	0.083	0.092	0.081	0.09	0.038	0.059	0.047	0.059	0.036	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	0.998	0.998	0.999	0.997	0.999	0.999	0.995	0.993	0.993	0.992	0.988	0.981	0.975	0.978	0.971	0.973	0.958	0.96	0.96	0.942	0.954	0.921	0.897	0.893	0.891	0.855	0.854	0.833	0.83	0.799	0.774	0.761	0.728	0.7	0.67	0.672	0.64	0.633	0.593	0.571	0.519	0.528	0.475	0.468	0.423	0.417	0.39	0.349	0.343	0.339	0.311	0.28	0.251	0.23	0.224	0.206	0.184	0.165	0.149	0.143	0.126	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.998	0.999	1	1	1	0.998	0.996	0.994	0.994	0.994	0.993	0.99	0.992	0.994	0.988	0.988	0.982	0.982	0.979	0.985	0.974	0.974	0.972	0.973	0.972	0.969	0.964	0.967	0.951	0.955	0.941	0.937	0.935	0.934	0.942	0.916	0.898	0.91	0.916	0.899	0.898	0.893	0.898	0.881	0.869	0.86	0.867	0.896	0.863	0.841	0.828	0.848	0.823	0.841	
1	0.999	1	0.998	0.999	0.999	0.997	0.995	0.996	0.996	0.992	0.99	0.986	0.975	0.973	0.976	0.956	0.955	0.943	0.93	0.923	0.92	0.892	0.873	0.873	0.841	0.843	0.824	0.79	0.803	0.745	0.747	0.741	0.711	0.685	0.662	0.622	0.612	0.588	0.581	0.516	0.536	0.52	0.469	0.435	0.427	0.434	0.42	0.4	0.376	0.346	0.332	0.3	0.314	0.266	0.28	0.25	0.226	0.225	0.209	0.173	0.161	0.168	0.183	0.162	0.148	0.152	0.099	0.106	0.107	0.103	0.089	0.089	0.06	0.079	0.055	0.071	0.057	0.06	0.045	0.045	0.046	0.035	0.036	0.033	0.021	0.033	0.018	0.017	0.017	0.014	0.012	0.005	0.011	0.009	0.008	0.007	0.006	0.005	0.003	
0.732	0.714	0.718	0.716	0.717	0.723	0.697	0.72	0.716	0.73	0.706	0.695	0.698	0.682	0.697	0.674	0.652	0.666	0.673	0.641	0.661	0.638	0.606	0.619	0.616	0.617	0.583	0.62	0.59	0.586	0.616	0.596	0.593	0.581	0.55	0.544	0.546	0.556	0.529	0.529	0.523	0.512	0.532	0.498	0.485	0.508	0.471	0.448	0.428	0.445	0.459	0.446	0.427	0.408	0.425	0.412	0.418	0.373	0.376	0.373	0.345	0.344	0.358	0.344	0.319	0.332	0.305	0.298	0.324	0.277	0.281	0.244	0.278	0.266	0.234	0.243	0.246	0.243	0.243	0.226	0.234	0.202	0.225	0.19	0.196	0.188	0.182	0.169	0.182	0.173	0.183	0.167	0.142	0.158	0.16	0.15	0.136	0.127	0.132	0.146	
0.807	0.807	0.788	0.79	0.766	0.766	0.763	0.747	0.728	0.708	0.704	0.69	0.7	0.673	0.649	0.64	0.616	0.605	0.574	0.606	0.568	0.564	0.54	0.507	0.51	0.47	0.465	0.451	0.432	0.434	0.392	0.371	0.345	0.343	0.316	0.292	0.285	0.294	0.281	0.213	0.235	0.219	0.207	0.19	0.19	0.164	0.142	0.158	0.131	0.124	0.113	0.133	0.113	0.117	0.088	0.091	0.087	0.095	0.077	0.073	0.062	0.081	0.065	0.074	0.076	0.052	0.055	0.051	0.046	0.049	0.056	0.053	0.056	0.056	0.05	0.039	0.048	0.044	0.043	0.049	0.046	0.035	0.041	0.033	0.036	0.037	0.038	0.051	0.044	0.035	0.042	0.035	0.044	0.049	0.054	0.056	0.037	0.054	0.056	0.051	
0.921	0.902	0.904	0.874	0.851	0.848	0.829	0.778	0.774	0.764	0.721	0.716	0.701	0.655	0.618	0.624	0.591	0.549	0.542	0.498	0.475	0.448	0.442	0.41	0.384	0.367	0.353	0.343	0.308	0.266	0.287	0.258	0.254	0.222	0.226	0.202	0.189	0.168	0.171	0.17	0.133	0.135	0.141	0.122	0.108	0.11	0.107	0.092	0.095	0.096	0.078	0.079	0.065	0.077	0.06	0.055	0.052	0.048	0.045	0.039	0.044	0.043	0.034	0.037	0.039	0.028	0.032	0.027	0.03	0.028	0.016	0.027	0.015	0.028	0.017	0.02	0.008	0.014	0.023	0.007	0.016	0.006	0.012	0.008	0.01	0.008	0.007	0.006	0.004	0.001	0.01	0.005	0.002	0.005	0.005	0.002	0.002	0.001	0.001	0.002	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	1	1	0.999	1	0.999	1	1	1	0.999	0.996	1	0.995	0.998	0.998	0.998	0.998	0.997	0.997	0.998	0.994	0.999	0.996	0.997	0.998	0.997	0.996	0.997	0.997	0.993	0.995	0.992	0.994	0.991	0.992	0.991	0.986	0.989	0.996	0.988	0.988	0.981	0.981	0.983	0.979	0.981	0.977	0.967	0.967	0.97	0.983	0.962	0.966	0.949	0.948	0.954	0.951	0.939	0.931	0.925	0.924	0.923	0.905	0.906	0.89	0.9	0.893	0.894	0.87	0.87	0.84	0.836	0.815	
0.991	0.979	0.964	0.959	0.936	0.914	0.878	0.879	0.838	0.801	0.772	0.728	0.707	0.654	0.638	0.637	0.566	0.514	0.543	0.468	0.444	0.442	0.408	0.387	0.35	0.352	0.287	0.31	0.269	0.254	0.223	0.209	0.2	0.18	0.172	0.154	0.135	0.159	0.115	0.111	0.106	0.096	0.101	0.084	0.065	0.07	0.055	0.057	0.047	0.047	0.029	0.034	0.034	0.027	0.018	0.021	0.018	0.02	0.023	0.015	0.014	0.017	0.01	0.014	0.007	0.008	0.009	0.008	0.007	0.008	0.007	0.008	0.005	0.001	0.007	0.007	0.002	0.008	0.001	0.006	0.002	0.002	0.002	0.001	0.006	0.002	0	0.001	0.001	0	0.001	0.001	0	0.001	0	0.001	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.999	0.998	0.998	0.999	0.996	0.992	0.991	0.99	0.986	0.986	0.972	0.98	0.966	0.961	0.963	0.951	0.92	0.93	0.925	0.913	0.905	0.876	0.874	0.855	0.832	0.826	0.831	0.782	0.769	0.767	0.724	0.726	0.701	0.669	0.661	0.644	0.623	0.597	0.588	0.564	0.535	0.504	0.516	0.485	0.47	0.466	0.443	0.426	0.39	0.363	0.368	0.358	0.363	0.334	0.319	0.316	0.298	0.259	0.285	0.255	0.281	0.241	0.247	0.24	0.225	0.227	0.215	0.241	0.205	0.211	0.232	0.21	0.228	0.204	0.236	0.204	0.213	0.214	0.187	0.207	0.202	0.204	0.197	0.202	0.214	0.238	
