1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.999	0.999	0.999	0.994	0.997	0.99	0.985	0.986	0.985	0.965	0.957	0.946	0.934	0.927	0.896	0.883	0.855	0.822	0.799	0.753	0.751	0.684	0.65	0.601	0.618	0.539	0.482	0.475	0.435	0.38	0.341	0.303	0.257	0.231	0.218	0.211	0.179	0.121	0.093	0.101	0.072	0.071	0.052	0.061	0.04	0.028	0.026	0.022	0.021	0.011	0.011	0.01	0.006	0.003	0.005	0.003	0.002	0	0.001	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.998	0.999	0.999	0.998	0.997	0.996	0.99	0.99	0.989	0.982	0.974	0.97	0.958	0.949	0.934	0.917	0.907	0.894	0.866	0.862	0.844	0.83	0.778	0.754	0.742	0.705	0.69	0.662	0.61	0.612	0.516	0.53	0.49	0.472	0.437	0.409	0.391	0.38	0.359	0.314	0.312	0.262	0.257	0.252	0.218	0.225	0.21	0.189	0.176	0.154	0.159	0.151	0.137	0.133	0.119	0.103	0.089	0.101	0.109	0.119	0.091	0.104	0.098	0.105	0.092	0.074	0.097	0.093	0.084	0.086	0.103	0.117	
1	0.999	0.998	0.997	0.997	1	0.996	0.996	0.997	0.994	0.992	0.993	0.998	0.996	0.993	0.988	0.992	0.992	0.986	0.988	0.982	0.979	0.984	0.966	0.98	0.962	0.965	0.965	0.964	0.956	0.951	0.949	0.941	0.92	0.933	0.907	0.918	0.893	0.876	0.872	0.867	0.877	0.86	0.839	0.822	0.836	0.823	0.812	0.8	0.782	0.801	0.749	0.745	0.714	0.713	0.74	0.742	0.728	0.705	0.699	0.705	0.682	0.65	0.657	0.645	0.632	0.616	0.641	0.616	0.61	0.588	0.586	0.58	0.598	0.562	0.586	0.574	0.553	0.531	0.521	0.501	0.499	0.494	0.475	0.464	0.442	0.454	0.442	0.452	0.403	0.399	0.414	0.407	0.341	0.362	0.372	0.334	0.331	0.301	0.294	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	1	0.999	0.997	0.999	0.995	0.993	0.985	0.984	0.98	0.97	0.977	0.96	0.946	0.941	0.936	0.903	0.9	0.892	0.862	0.836	0.834	0.787	0.738	0.714	0.698	0.664	0.62	0.571	0.541	0.508	0.474	0.397	0.382	0.335	0.35	0.323	0.286	0.268	0.197	0.209	0.194	0.158	0.173	0.12	0.102	0.106	0.078	0.083	0.074	0.063	0.046	0.046	0.037	0.023	0.019	0.018	0.018	0.018	0.018	0.011	0.012	0.009	0.007	0.003	0.005	0.005	0	0.002	0	0.001	0.001	0.001	0.002	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	0.999	1	0.999	1	1	0.999	0.998	1	0.999	0.998	0.997	0.998	0.995	0.998	0.998	0.997	0.996	0.998	0.996	0.996	0.997	0.99	0.994	0.992	0.996	0.993	0.992	0.994	0.996	0.995	0.987	0.991	0.989	0.984	0.985	0.982	0.982	0.979	0.978	0.976	0.965	0.97	0.968	0.964	0.971	0.963	0.957	0.944	0.967	0.941	0.944	0.943	0.933	0.932	0.92	0.905	0.912	0.911	0.898	0.886	0.881	0.87	0.854	0.838	0.827	
0.714	0.716	0.732	0.77	0.733	0.731	0.759	0.728	0.752	0.747	0.721	0.705	0.716	0.697	0.691	0.676	0.66	0.661	0.632	0.626	0.588	0.585	0.588	0.547	0.529	0.528	0.507	0.508	0.453	0.411	0.438	0.415	0.413	0.382	0.364	0.322	0.316	0.314	0.316	0.306	0.302	0.264	0.236	0.253	0.259	0.21	0.189	0.194	0.193	0.178	0.176	0.165	0.142	0.152	0.135	0.139	0.131	0.149	0.129	0.123	0.106	0.136	0.108	0.122	0.114	0.091	0.099	0.102	0.095	0.092	0.111	0.076	0.086	0.098	0.088	0.085	0.088	0.085	0.071	0.092	0.079	0.078	0.093	0.082	0.076	0.101	0.092	0.088	0.112	0.093	0.091	0.081	0.092	0.097	0.111	0.089	0.116	0.114	0.106	0.102	
0.993	0.975	0.952	0.949	0.916	0.9	0.828	0.794	0.724	0.684	0.593	0.54	0.491	0.399	0.352	0.335	0.263	0.204	0.185	0.155	0.13	0.092	0.076	0.061	0.046	0.041	0.027	0.022	0.014	0.016	0.012	0.007	0.003	0.002	0	0.002	0.006	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0	0	0	0	0.001	0	0	0.001	0	0.001	0	0	0	0.001	0.001	0	0	0	0	0	0	0.001	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.001	0	0	0	0.001	0	0	0	0.001	0	0.001	0	0	0	0.001	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	1	0.999	1	1	1	0.999	0.998	0.996	0.999	0.997	0.997	0.998	0.992	1	0.992	0.997	0.995	0.993	0.994	0.993	0.989	0.981	0.989	0.983	0.99	0.982	0.978	0.987	0.974	0.977	0.965	0.961	0.964	0.966	0.959	0.958	0.944	0.956	0.944	0.934	0.936	0.948	0.909	0.905	0.915	0.907	0.908	0.889	0.89	0.892	0.883	0.894	0.877	0.871	0.878	0.862	0.87	0.867	0.836	0.81	0.84	0.827	0.842	0.834	0.827	0.812	0.81	0.795	
0.002	0.002	0.002	0	0.003	0.001	0.004	0.001	0.005	0.004	0.004	0.004	0.007	0.014	0.015	0.017	0.025	0.018	0.03	0.029	0.04	0.043	0.063	0.056	0.066	0.072	0.089	0.1	0.131	0.139	0.141	0.173	0.169	0.185	0.198	0.233	0.214	0.269	0.26	0.286	0.285	0.306	0.315	0.34	0.356	0.361	0.366	0.396	0.399	0.402	0.431	0.432	0.434	0.467	0.48	0.455	0.479	0.536	0.494	0.511	0.491	0.495	0.511	0.494	0.495	0.491	0.489	0.52	0.506	0.476	0.5	0.482	0.463	0.483	0.481	0.472	0.485	0.459	0.441	0.42	0.438	0.435	0.409	0.441	0.404	0.373	0.358	0.383	0.357	0.321	0.342	0.338	0.325	0.292	0.282	0.285	0.254	0.29	0.216	0.239	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	0.999	1	0.999	1	0.993	0.998	0.996	0.994	0.992	0.985	0.99	0.984	0.981	0.974	0.961	0.964	0.947	0.95	0.933	0.929	0.932	0.9	0.895	0.878	0.866	0.866	0.842	0.826	0.789	0.802	0.776	0.76	0.735	0.711	0.699	0.668	0.658	0.606	0.612	0.567	0.552	0.545	0.514	0.507	0.472	0.456	0.429	0.401	0.409	0.369	0.344	0.345	0.327	0.315	0.26	0.249	0.243	0.227	0.211	0.225	0.173	0.145	0.151	0.159	
1	1	1	1	1	1	1	1	1	0.999	0.997	1	0.996	0.995	0.995	0.993	0.993	0.98	0.974	0.978	0.961	0.944	0.928	0.927	0.91	0.911	0.903	0.886	0.856	0.833	0.829	0.814	0.782	0.763	0.746	0.724	0.691	0.67	0.648	0.646	0.61	0.582	0.576	0.515	0.534	0.521	0.467	0.467	0.436	0.382	0.358	0.331	0.326	0.321	0.258	0.264	0.248	0.238	0.192	0.197	0.196	0.179	0.143	0.138	0.117	0.095	0.091	0.095	0.09	0.078	0.074	0.073	0.062	0.054	0.05	0.044	0.031	0.034	0.02	0.029	0.028	0.027	0.022	0.011	0.012	0.013	0.013	0.008	0.01	0.012	0.008	0.003	0.005	0.003	0.008	0.006	0	0.005	0.002	0.001	
