1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	0.998	1	0.999	1	0.999	0.999	1	0.999	0.998	1	0.994	0.997	0.995	0.994	0.994	0.988	0.995	0.985	0.989	0.985	0.979	0.978	0.964	0.965	0.966	0.956	0.954	0.948	0.948	0.92	0.95	0.899	0.877	0.885	0.858	0.836	0.804	0.775	0.752	0.718	0.69	0.66	0.633	0.604	0.555	0.509	0.469	0.442	0.385	0.326	0.28	0.239	0.218	0.18	0.16	
0.497	0.509	0.504	0.496	0.485	0.49	0.501	0.491	0.501	0.492	0.462	0.467	0.484	0.47	0.431	0.458	0.468	0.457	0.477	0.46	0.468	0.456	0.456	0.463	0.425	0.45	0.448	0.454	0.456	0.418	0.438	0.408	0.418	0.426	0.423	0.442	0.449	0.43	0.408	0.409	0.45	0.406	0.437	0.412	0.417	0.414	0.408	0.391	0.415	0.405	0.393	0.391	0.443	0.4	0.408	0.386	0.399	0.399	0.343	0.366	0.393	0.367	0.356	0.341	0.348	0.347	0.36	0.384	0.329	0.341	0.332	0.345	0.318	0.334	0.321	0.334	0.34	0.3	0.3	0.3	0.31	0.308	0.306	0.312	0.314	0.29	0.312	0.31	0.29	0.286	0.313	0.317	0.294	0.313	0.288	0.303	0.32	0.295	0.337	0.329	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	0.998	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.998	0.999	0.998	0.999	0.998	1	0.997	0.997	0.998	0.996	0.991	0.994	0.994	0.989	0.984	0.986	0.978	0.978	0.983	0.969	0.966	0.969	0.963	0.949	0.948	0.918	0.926	0.911	0.893	0.86	0.847	0.84	0.815	0.753	0.75	0.713	0.68	0.657	0.621	0.556	0.538	0.471	0.433	0.368	0.347	0.305	0.302	0.226	0.196	0.135	0.12	0.099	0.094	0.065	
0.996	0.996	0.994	0.999	0.988	0.99	0.993	0.992	0.995	0.99	0.989	0.983	0.984	0.979	0.981	0.982	0.966	0.965	0.978	0.975	0.968	0.982	0.974	0.983	0.967	0.961	0.966	0.964	0.954	0.962	0.958	0.969	0.949	0.952	0.955	0.955	0.955	0.945	0.955	0.947	0.943	0.947	0.943	0.946	0.96	0.945	0.956	0.956	0.957	0.942	0.952	0.93	0.956	0.943	0.937	0.953	0.944	0.948	0.951	0.951	0.947	0.948	0.964	0.959	0.933	0.947	0.949	0.947	0.943	0.947	0.949	0.94	0.945	0.954	0.955	0.939	0.938	0.926	0.932	0.932	0.92	0.906	0.911	0.902	0.872	0.889	0.861	0.842	0.816	0.807	0.787	0.749	0.7	0.665	0.662	0.62	0.614	0.527	0.497	0.437	
0.002	0.006	0.002	0.001	0.002	0.003	0	0.002	0.002	0.004	0.002	0.002	0.002	0	0	0	0.001	0	0	0.001	0.001	0.001	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.278	0.288	0.266	0.261	0.244	0.209	0.212	0.203	0.2	0.198	0.176	0.152	0.155	0.181	0.152	0.123	0.143	0.135	0.111	0.122	0.102	0.091	0.07	0.066	0.072	0.079	0.053	0.069	0.066	0.038	0.036	0.044	0.036	0.037	0.029	0.026	0.032	0.021	0.022	0.019	0.014	0.014	0.012	0.011	0.011	0.003	0.01	0.003	0.007	0.003	0.003	0.002	0.002	0.002	0.001	0.002	0.003	0.001	0.003	0.001	0	0.002	0.001	0	0.002	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.971	0.966	0.96	0.962	0.95	0.945	0.937	0.94	0.942	0.92	0.936	0.934	0.894	0.907	0.905	0.904	0.906	0.893	0.896	0.894	0.865	0.87	0.846	0.852	0.853	0.85	0.848	0.818	0.826	0.832	0.834	0.826	0.808	0.788	0.787	0.773	0.788	0.779	0.765	0.737	0.755	0.711	0.726	0.738	0.697	0.695	0.691	0.703	0.695	0.685	0.666	0.664	0.641	0.664	0.608	0.596	0.589	0.586	0.58	0.589	0.565	0.528	0.535	0.545	0.498	0.505	0.501	0.515	0.453	0.464	0.454	0.441	0.421	0.433	0.406	0.393	0.399	0.401	0.346	0.355	0.333	0.354	0.34	0.309	0.314	0.3	0.272	0.319	0.281	0.255	0.252	0.249	0.243	0.217	0.206	0.226	0.166	0.209	0.192	0.165	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	1	1	0.999	1	0.998	1	1	0.999	1	0.998	0.998	0.998	0.998	0.997	0.998	0.999	0.995	0.995	0.998	0.995	0.995	0.993	0.993	0.995	0.995	0.995	0.996	0.997	0.993	0.993	0.994	0.996	0.987	0.994	0.99	0.991	0.994	0.994	0.995	0.993	0.995	0.991	0.992	0.99	0.995	0.988	0.994	0.992	0.993	0.997	0.994	0.998	0.991	0.99	0.995	0.994	0.989	0.992	0.991	0.992	0.997	0.994	
0.849	0.853	0.854	0.837	0.835	0.804	0.795	0.775	0.766	0.765	0.761	0.757	0.76	0.73	0.731	0.748	0.683	0.678	0.682	0.663	0.623	0.653	0.607	0.621	0.619	0.606	0.563	0.539	0.53	0.516	0.52	0.484	0.463	0.468	0.474	0.422	0.399	0.422	0.387	0.385	0.365	0.367	0.332	0.329	0.3	0.288	0.311	0.252	0.265	0.268	0.227	0.219	0.236	0.235	0.183	0.206	0.18	0.176	0.175	0.179	0.154	0.149	0.13	0.142	0.131	0.11	0.098	0.11	0.104	0.103	0.087	0.081	0.084	0.077	0.085	0.081	0.059	0.056	0.053	0.033	0.053	0.053	0.035	0.046	0.041	0.033	0.024	0.033	0.025	0.03	0.036	0.039	0.027	0.017	0.018	0.017	0.023	0.011	0.014	0.015	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	1	1	1	1	1	0.999	1	1	1	0.999	1	0.998	0.996	0.998	0.995	0.995	0.996	0.99	0.988	0.993	0.984	0.982	0.989	0.981	0.973	0.967	0.95	0.942	0.942	0.92	0.901	0.892	0.876	0.844	0.827	0.786	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.998	0.999	1	0.999	0.998	0.999	0.996	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	0.998	0.999	1	0.998	0.996	0.995	0.998	0.994	0.996	0.994	0.999	0.994	0.991	0.994	0.992	0.988	0.989	0.988	0.984	0.983	0.976	0.97	0.966	0.969	0.961	0.968	0.947	0.946	0.939	0.938	0.928	0.922	0.911	0.901	0.877	0.878	0.867	0.822	0.841	0.809	0.791	0.792	0.76	0.767	0.717	0.703	0.673	0.642	0.621	0.573	0.561	0.547	0.469	0.494	0.442	0.437	0.407	0.374	0.329	0.295	0.289	0.247	0.212	0.209	0.18	0.157	0.144	0.138	0.087	0.081	0.072	0.054	0.042	0.045	0.025	0.02	0.008	
0.718	0.676	0.705	0.682	0.652	0.639	0.599	0.601	0.623	0.563	0.571	0.547	0.521	0.523	0.495	0.455	0.473	0.423	0.43	0.426	0.423	0.386	0.373	0.323	0.348	0.355	0.364	0.348	0.316	0.326	0.298	0.317	0.275	0.278	0.281	0.256	0.246	0.247	0.234	0.23	0.234	0.21	0.217	0.192	0.171	0.199	0.2	0.185	0.164	0.172	0.16	0.165	0.17	0.135	0.156	0.129	0.13	0.153	0.125	0.124	0.13	0.13	0.092	0.102	0.102	0.084	0.105	0.091	0.079	0.075	0.066	0.066	0.05	0.057	0.054	0.058	0.042	0.04	0.047	0.043	0.039	0.035	0.022	0.027	0.027	0.03	0.028	0.018	0.016	0.022	0.023	0.018	0.009	0.019	0.01	0.014	0.007	0.01	0.016	0.007	
0.618	0.636	0.614	0.598	0.615	0.598	0.532	0.539	0.524	0.522	0.514	0.476	0.507	0.454	0.451	0.414	0.43	0.424	0.389	0.393	0.389	0.357	0.339	0.338	0.351	0.329	0.313	0.344	0.319	0.286	0.292	0.283	0.298	0.262	0.286	0.259	0.278	0.263	0.249	0.241	0.253	0.265	0.248	0.224	0.252	0.241	0.262	0.221	0.232	0.222	0.229	0.214	0.265	0.222	0.224	0.237	0.206	0.205	0.217	0.206	0.243	0.214	0.225	0.241	0.219	0.226	0.232	0.218	0.22	0.233	0.212	0.221	0.224	0.255	0.237	0.265	0.254	0.228	0.231	0.231	0.24	0.246	0.248	0.248	0.231	0.248	0.218	0.246	0.219	0.229	0.222	0.237	0.206	0.239	0.212	0.212	0.175	0.2	0.193	0.188	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.999	0.999	0.999	0.999	1	0.998	1	0.998	0.994	0.994	0.996	0.992	0.992	0.992	0.992	0.989	0.992	0.984	0.982	0.982	0.977	0.978	0.971	0.97	0.963	0.957	0.96	0.952	
0.991	0.987	0.992	0.989	0.991	0.987	0.989	0.99	0.983	0.977	0.989	0.977	0.97	0.986	0.983	0.983	0.969	0.976	0.968	0.975	0.979	0.967	0.974	0.969	0.973	0.964	0.972	0.961	0.948	0.966	0.96	0.971	0.953	0.952	0.94	0.936	0.942	0.946	0.934	0.922	0.936	0.918	0.922	0.897	0.905	0.901	0.889	0.895	0.883	0.87	0.86	0.849	0.843	0.85	0.822	0.78	0.801	0.786	0.785	0.764	0.763	0.731	0.697	0.698	0.643	0.632	0.616	0.593	0.588	0.573	0.543	0.503	0.473	0.49	0.468	0.429	0.419	0.345	0.361	0.304	0.288	0.262	0.26	0.214	0.211	0.173	0.174	0.157	0.139	0.137	0.107	0.113	0.096	0.083	0.06	0.07	0.056	0.066	0.045	0.056	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	0.999	1	0.999	1	0.997	1	0.994	0.996	0.995	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	0.998	0.999	0.998	1	0.997	0.999	0.998	0.997	0.998	0.998	0.999	0.996	0.997	0.995	0.996	0.991	0.992	0.992	0.995	0.993	0.993	0.995	0.989	0.994	0.989	0.988	0.99	0.99	0.985	0.982	0.981	0.982	0.98	0.985	0.977	0.977	0.973	0.969	0.969	0.971	0.968	0.977	0.976	0.961	0.953	0.966	0.948	0.953	0.945	0.95	0.944	0.929	0.922	0.925	0.9	0.889	0.908	0.885	0.857	0.835	0.83	0.803	0.774	0.75	0.708	
0.994	0.989	0.994	0.99	0.992	0.995	0.992	0.991	0.994	0.993	0.99	0.983	0.988	0.986	0.988	0.979	0.982	0.974	0.979	0.977	0.962	0.979	0.973	0.966	0.962	0.96	0.946	0.942	0.953	0.947	0.939	0.945	0.942	0.93	0.94	0.916	0.92	0.917	0.908	0.912	0.901	0.886	0.886	0.87	0.865	0.886	0.872	0.852	0.874	0.837	0.829	0.822	0.814	0.824	0.814	0.793	0.787	0.756	0.766	0.742	0.745	0.734	0.749	0.718	0.699	0.709	0.681	0.651	0.63	0.583	0.616	0.578	0.538	0.566	0.494	0.514	0.486	0.461	0.428	0.416	0.403	0.359	0.338	0.303	0.243	0.274	0.22	0.224	0.179	0.167	0.121	0.116	0.113	0.085	0.067	0.049	0.047	0.03	0.033	0.019	
