1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	0.999	1	1	1	0.999	1	1	0.999	0.999	0.999	1	1	1	0.999	1	1	0.999	1	1	1	0.998	0.999	1	1	1	1	1	0.999	1	0.998	1	1	0.999	0.998	1	0.998	0.997	1	0.997	0.999	0.991	0.997	0.994	0.997	0.988	0.986	0.983	0.972	0.968	0.96	0.943	0.927	0.908	0.88	0.841	0.811	0.76	0.716	0.68	0.64	0.608	0.516	0.444	0.362	0.307	0.24	0.213	0.17	0.115	0.084	0.061	0.031	0.022	0.016	0.007	
0.978	0.973	0.977	0.983	0.978	0.981	0.974	0.982	0.974	0.982	0.976	0.976	0.979	0.979	0.99	0.983	0.989	0.983	0.983	0.977	0.982	0.978	0.983	0.978	0.974	0.982	0.985	0.98	0.977	0.985	0.975	0.979	0.982	0.984	0.975	0.977	0.977	0.98	0.97	0.979	0.973	0.975	0.982	0.984	0.98	0.984	0.975	0.975	0.975	0.976	0.976	0.974	0.972	0.968	0.973	0.98	0.976	0.979	0.97	0.968	0.972	0.961	0.967	0.976	0.977	0.975	0.952	0.973	0.968	0.968	0.963	0.958	0.964	0.964	0.971	0.964	0.967	0.971	0.963	0.975	0.971	0.97	0.968	0.976	0.971	0.965	0.98	0.972	0.984	0.981	0.978	0.969	0.986	0.984	0.986	0.98	0.984	0.98	0.975	0.974	
0.995	1	0.996	0.998	0.995	0.998	0.991	0.994	0.994	0.994	0.992	0.986	0.989	0.991	0.99	0.993	0.986	0.987	0.986	0.987	0.983	0.978	0.984	0.983	0.967	0.964	0.963	0.97	0.97	0.957	0.97	0.963	0.951	0.944	0.939	0.937	0.923	0.927	0.92	0.9	0.896	0.874	0.87	0.847	0.834	0.83	0.817	0.803	0.787	0.747	0.726	0.712	0.693	0.659	0.651	0.636	0.576	0.555	0.523	0.489	0.463	0.412	0.385	0.362	0.33	0.323	0.298	0.257	0.229	0.182	0.144	0.145	0.115	0.098	0.088	0.065	0.057	0.041	0.028	0.017	0.014	0.014	0.01	0.005	0.004	0.003	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	1	1	1	1	0.999	1	1	1	1	1	1	0.999	1	0.999	0.999	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	1	0.998	0.999	0.998	0.996	0.997	0.997	0.995	0.988	0.992	0.99	0.988	0.977	0.977	0.976	0.962	0.962	0.961	0.942	0.947	0.928	0.932	0.883	0.878	0.857	0.845	0.829	0.793	0.77	0.712	0.711	0.646	0.628	0.592	0.576	0.524	0.48	0.459	0.414	0.362	0.326	0.282	0.283	0.233	0.204	0.184	0.146	0.14	0.108	
0.999	0.999	1	1	1	0.999	0.995	0.998	0.997	0.994	0.993	0.99	0.986	0.978	0.983	0.974	0.979	0.971	0.962	0.961	0.963	0.94	0.94	0.919	0.928	0.914	0.916	0.885	0.888	0.887	0.888	0.862	0.829	0.836	0.831	0.804	0.801	0.775	0.783	0.752	0.755	0.71	0.702	0.702	0.688	0.647	0.656	0.641	0.629	0.607	0.605	0.576	0.556	0.53	0.547	0.533	0.471	0.506	0.476	0.446	0.416	0.442	0.412	0.417	0.371	0.357	0.339	0.323	0.315	0.281	0.286	0.263	0.257	0.225	0.197	0.197	0.213	0.149	0.158	0.157	0.126	0.108	0.112	0.105	0.065	0.081	0.06	0.037	0.045	0.042	0.032	0.023	0.029	0.026	0.01	0.024	0.011	0.008	0.011	0.008	
0.979	0.99	0.974	0.971	0.973	0.98	0.955	0.968	0.943	0.952	0.95	0.944	0.942	0.944	0.93	0.925	0.921	0.9	0.918	0.89	0.889	0.901	0.868	0.858	0.85	0.844	0.817	0.833	0.805	0.779	0.775	0.773	0.771	0.735	0.75	0.711	0.689	0.686	0.675	0.665	0.629	0.62	0.619	0.544	0.574	0.565	0.523	0.525	0.483	0.479	0.458	0.481	0.452	0.409	0.376	0.373	0.355	0.328	0.324	0.313	0.318	0.284	0.236	0.251	0.21	0.216	0.178	0.176	0.155	0.146	0.117	0.105	0.093	0.091	0.086	0.077	0.048	0.035	0.03	0.026	0.029	0.016	0.014	0.013	0.006	0.009	0.004	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0	
0.997	0.988	0.994	0.992	0.989	0.993	0.988	0.982	0.985	0.975	0.976	0.975	0.986	0.964	0.969	0.966	0.952	0.951	0.953	0.941	0.95	0.939	0.932	0.935	0.924	0.925	0.91	0.935	0.888	0.875	0.881	0.888	0.882	0.857	0.863	0.848	0.836	0.848	0.831	0.829	0.793	0.815	0.812	0.784	0.802	0.777	0.777	0.76	0.749	0.747	0.756	0.719	0.703	0.705	0.699	0.672	0.689	0.649	0.653	0.654	0.616	0.616	0.609	0.6	0.583	0.596	0.58	0.534	0.519	0.523	0.502	0.493	0.462	0.426	0.429	0.423	0.374	0.409	0.362	0.315	0.285	0.299	0.295	0.243	0.226	0.225	0.193	0.165	0.141	0.148	0.11	0.09	0.094	0.07	0.061	0.061	0.038	0.025	0.026	0.026	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	1	1	1	0.999	1	1	0.999	1	0.999	0.999	0.999	1	1	1	1	0.999	1	1	0.998	0.996	0.997	0.997	0.995	0.997	0.999	0.993	0.988	0.995	0.993	0.995	0.992	0.99	0.992	0.981	0.982	0.983	0.979	0.976	0.974	0.958	0.97	0.951	0.954	0.946	0.927	
0.963	0.972	0.964	0.951	0.946	0.944	0.918	0.919	0.906	0.89	0.902	0.888	0.871	0.873	0.86	0.844	0.844	0.811	0.792	0.792	0.769	0.758	0.762	0.702	0.737	0.708	0.689	0.695	0.654	0.659	0.66	0.618	0.616	0.583	0.6	0.576	0.554	0.523	0.524	0.533	0.51	0.487	0.476	0.442	0.469	0.433	0.433	0.439	0.433	0.395	0.405	0.403	0.38	0.385	0.363	0.358	0.354	0.345	0.351	0.338	0.316	0.328	0.331	0.298	0.287	0.277	0.318	0.279	0.313	0.271	0.286	0.271	0.288	0.237	0.237	0.237	0.26	0.231	0.218	0.241	0.237	0.192	0.213	0.192	0.195	0.191	0.153	0.142	0.148	0.143	0.125	0.124	0.105	0.088	0.084	0.061	0.039	0.038	0.041	0.025	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	0.998	1	0.999	0.997	0.998	0.999	0.997	0.999	0.998	0.996	0.998	0.999	0.995	0.997	0.997	0.998	0.996	0.998	0.997	0.996	0.996	0.993	0.998	0.99	0.995	1	0.989	0.997	0.987	0.989	0.994	0.987	0.982	0.983	0.985	0.977	0.981	0.971	0.97	0.963	0.972	0.967	0.956	0.964	0.953	0.947	0.941	0.943	0.927	0.92	0.918	0.92	0.921	0.905	0.898	0.905	0.891	0.89	0.861	0.881	0.859	0.851	0.85	0.841	0.82	0.827	
0.926	0.905	0.901	0.903	0.873	0.914	0.9	0.9	0.886	0.875	0.89	0.887	0.875	0.874	0.891	0.877	0.871	0.869	0.861	0.847	0.875	0.879	0.871	0.861	0.878	0.843	0.863	0.854	0.862	0.847	0.848	0.846	0.841	0.85	0.863	0.842	0.842	0.869	0.856	0.841	0.833	0.846	0.854	0.875	0.855	0.853	0.845	0.856	0.864	0.845	0.831	0.848	0.851	0.828	0.846	0.847	0.836	0.841	0.829	0.837	0.843	0.823	0.829	0.84	0.843	0.831	0.837	0.839	0.848	0.856	0.839	0.834	0.835	0.827	0.851	0.819	0.81	0.824	0.817	0.843	0.801	0.802	0.776	0.78	0.766	0.775	0.767	0.748	0.717	0.728	0.665	0.699	0.631	0.629	0.597	0.566	0.547	0.511	0.505	0.458	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	1	1	0.998	0.999	0.998	0.999	0.999	0.997	0.994	0.996	0.994	0.996	0.996	0.992	0.994	0.99	0.982	0.98	0.982	0.973	0.975	0.958	0.955	0.946	0.944	0.929	0.915	0.889	0.882	0.864	0.833	0.801	0.753	0.747	0.682	0.633	0.601	0.524	0.497	0.438	0.394	0.355	0.264	0.23	0.208	0.134	0.116	
0.849	0.856	0.839	0.836	0.789	0.799	0.77	0.778	0.75	0.715	0.728	0.68	0.7	0.677	0.662	0.642	0.638	0.63	0.623	0.617	0.589	0.57	0.548	0.533	0.539	0.517	0.536	0.488	0.497	0.502	0.48	0.482	0.456	0.433	0.427	0.424	0.433	0.414	0.406	0.39	0.361	0.392	0.378	0.371	0.356	0.358	0.346	0.334	0.339	0.309	0.299	0.322	0.285	0.304	0.285	0.272	0.258	0.284	0.246	0.243	0.25	0.222	0.209	0.203	0.217	0.202	0.211	0.197	0.191	0.172	0.169	0.148	0.149	0.135	0.136	0.113	0.122	0.098	0.082	0.071	0.053	0.058	0.043	0.029	0.025	0.011	0.02	0.013	0.008	0.008	0.006	0.005	0.002	0.002	0	0	0.003	0.003	0.007	0.002	
0.364	0.349	0.37	0.329	0.338	0.33	0.322	0.301	0.288	0.313	0.285	0.262	0.268	0.277	0.259	0.236	0.261	0.221	0.216	0.238	0.222	0.215	0.19	0.196	0.182	0.186	0.171	0.172	0.168	0.146	0.146	0.131	0.131	0.134	0.129	0.106	0.118	0.105	0.113	0.114	0.102	0.093	0.112	0.088	0.094	0.079	0.1	0.076	0.069	0.065	0.077	0.062	0.047	0.062	0.051	0.063	0.053	0.058	0.052	0.044	0.052	0.054	0.045	0.047	0.024	0.043	0.046	0.051	0.046	0.053	0.031	0.031	0.042	0.035	0.028	0.037	0.04	0.027	0.037	0.023	0.037	0.034	0.021	0.024	0.013	0.019	0.015	0.019	0.009	0.012	0.003	0.009	0.012	0.005	0.005	0.01	0.004	0.004	0.002	0.005	
0.976	0.972	0.967	0.967	0.977	0.967	0.962	0.959	0.96	0.955	0.951	0.947	0.951	0.935	0.939	0.932	0.931	0.926	0.919	0.924	0.927	0.908	0.909	0.902	0.9	0.902	0.882	0.907	0.88	0.9	0.87	0.877	0.855	0.857	0.856	0.823	0.833	0.82	0.822	0.834	0.803	0.786	0.822	0.79	0.782	0.772	0.744	0.776	0.745	0.712	0.718	0.728	0.723	0.699	0.685	0.674	0.66	0.675	0.673	0.614	0.63	0.632	0.598	0.573	0.595	0.574	0.552	0.545	0.509	0.502	0.492	0.483	0.465	0.438	0.453	0.408	0.439	0.369	0.396	0.362	0.345	0.33	0.324	0.317	0.334	0.293	0.278	0.241	0.242	0.216	0.205	0.223	0.211	0.21	0.212	0.192	0.199	0.168	0.178	0.177	
