1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	0.999	1	0.999	0.999	0.999	0.995	0.999	0.998	0.993	0.994	0.991	0.979	0.981	0.974	0.963	0.95	0.96	0.928	0.918	0.89	0.86	0.825	0.77	0.727	0.703	0.651	0.589	0.552	0.47	0.428	0.353	0.327	0.257	
0.038	0.039	0.048	0.051	0.047	0.054	0.071	0.072	0.079	0.081	0.078	0.093	0.104	0.112	0.122	0.117	0.142	0.144	0.147	0.15	0.149	0.166	0.175	0.171	0.19	0.198	0.178	0.192	0.225	0.235	0.22	0.227	0.232	0.237	0.253	0.255	0.26	0.263	0.26	0.274	0.304	0.289	0.295	0.286	0.289	0.306	0.309	0.32	0.295	0.3	0.326	0.306	0.315	0.319	0.306	0.29	0.307	0.305	0.335	0.289	0.308	0.35	0.315	0.306	0.305	0.314	0.3	0.333	0.337	0.346	0.362	0.337	0.333	0.363	0.342	0.355	0.335	0.333	0.318	0.347	0.363	0.33	0.34	0.334	0.337	0.318	0.319	0.317	0.327	0.332	0.319	0.348	0.301	0.315	0.317	0.314	0.313	0.311	0.29	0.296	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	0.998	0.997	0.996	0.996	0.993	0.989	0.991	0.989	0.979	0.983	0.974	0.972	0.959	0.946	0.959	0.953	0.946	0.915	0.912	0.92	0.9	0.856	0.872	0.854	0.831	0.801	0.789	0.775	0.772	0.694	0.694	0.677	0.654	0.628	0.612	0.57	0.584	0.513	0.491	0.46	0.442	0.416	0.406	0.347	0.336	0.294	0.29	0.273	0.231	0.215	0.164	0.164	0.159	0.121	0.119	0.107	0.086	0.049	0.047	0.041	0.035	0.026	0.021	0.01	0.007	0.007	0.005	0.002	0.002	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.998	1	1	1	1	0.998	1	0.998	1	0.998	0.999	0.999	1	0.999	0.998	0.997	0.997	1	0.997	0.995	0.997	0.995	0.99	0.993	0.995	0.992	0.985	0.984	0.988	0.985	0.973	0.976	0.97	0.976	0.978	0.967	0.965	0.947	0.951	0.927	0.907	0.913	0.874	0.893	0.852	0.834	0.83	0.805	0.807	0.732	0.714	0.678	0.647	0.62	0.558	
0.971	0.975	0.971	0.972	0.971	0.981	0.971	0.972	0.964	0.969	0.972	0.967	0.959	0.949	0.96	0.95	0.949	0.95	0.958	0.935	0.962	0.947	0.945	0.949	0.951	0.942	0.958	0.936	0.93	0.905	0.933	0.902	0.912	0.905	0.887	0.895	0.871	0.877	0.881	0.845	0.85	0.825	0.84	0.832	0.802	0.769	0.775	0.758	0.763	0.693	0.688	0.683	0.679	0.659	0.622	0.575	0.54	0.549	0.548	0.477	0.491	0.481	0.454	0.439	0.399	0.374	0.361	0.349	0.314	0.282	0.297	0.228	0.224	0.218	0.186	0.16	0.131	0.142	0.109	0.113	0.106	0.088	0.091	0.056	0.055	0.034	0.035	0.024	0.026	0.017	0.012	0.014	0.009	0.002	0.004	0.002	0.001	0.002	0.002	0.001	
0.324	0.296	0.309	0.301	0.271	0.313	0.338	0.289	0.306	0.309	0.292	0.281	0.266	0.307	0.291	0.294	0.296	0.293	0.3	0.264	0.278	0.274	0.281	0.305	0.286	0.281	0.296	0.273	0.286	0.272	0.254	0.285	0.288	0.279	0.311	0.273	0.278	0.301	0.254	0.287	0.277	0.271	0.278	0.245	0.255	0.26	0.27	0.245	0.236	0.255	0.256	0.226	0.258	0.248	0.221	0.241	0.222	0.214	0.228	0.208	0.206	0.203	0.197	0.204	0.187	0.19	0.159	0.141	0.157	0.141	0.138	0.124	0.13	0.13	0.122	0.106	0.105	0.112	0.092	0.088	0.096	0.072	0.058	0.058	0.052	0.038	0.04	0.031	0.024	0.027	0.013	0.013	0.015	0.005	0.009	0.006	0.004	0.002	0	0	
0.966	0.961	0.958	0.944	0.96	0.95	0.946	0.942	0.924	0.922	0.923	0.915	0.913	0.908	0.931	0.892	0.897	0.898	0.892	0.879	0.879	0.868	0.883	0.876	0.863	0.852	0.846	0.854	0.832	0.847	0.814	0.816	0.812	0.793	0.792	0.786	0.788	0.775	0.755	0.77	0.755	0.728	0.733	0.748	0.708	0.705	0.7	0.716	0.673	0.681	0.664	0.66	0.654	0.652	0.611	0.632	0.589	0.591	0.577	0.568	0.571	0.568	0.554	0.519	0.522	0.487	0.477	0.488	0.465	0.421	0.441	0.429	0.436	0.364	0.388	0.359	0.374	0.321	0.328	0.296	0.288	0.27	0.264	0.257	0.226	0.217	0.207	0.211	0.206	0.197	0.154	0.158	0.136	0.148	0.129	0.106	0.105	0.097	0.08	0.083	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	0.999	1	1	1	1	0.999	1	1	1	1	1	0.999	0.999	0.999	0.999	1	0.998	0.998	0.999	0.999	0.999	0.999	0.997	0.999	0.998	0.999	0.997	0.997	0.999	0.999	0.994	0.998	0.998	0.999	1	0.999	1	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.996	0.995	
0.76	0.695	0.707	0.671	0.664	0.631	0.589	0.58	0.557	0.524	0.511	0.456	0.465	0.44	0.445	0.399	0.37	0.361	0.325	0.303	0.262	0.298	0.22	0.213	0.21	0.2	0.214	0.194	0.161	0.154	0.154	0.117	0.138	0.099	0.13	0.108	0.107	0.08	0.082	0.066	0.08	0.06	0.064	0.047	0.057	0.055	0.045	0.047	0.036	0.042	0.035	0.043	0.047	0.034	0.032	0.027	0.03	0.03	0.036	0.023	0.032	0.027	0.027	0.027	0.011	0.019	0.022	0.015	0.021	0.018	0.018	0.005	0.021	0.016	0.012	0.016	0.014	0.015	0.011	0.008	0.019	0.013	0.019	0.014	0.01	0.013	0.012	0.008	0.012	0.011	0.007	0.018	0.018	0.011	0.012	0.012	0.007	0.012	0.009	0.011	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	0.999	1	1	1	0.999	1	1	1	1	0.999	1	0.999	0.999	0.999	0.998	0.996	0.997	0.998	0.994	0.995	0.992	0.991	0.995	0.987	0.991	0.979	0.984	0.977	0.973	0.967	0.966	0.955	0.932	0.934	0.914	0.896	0.87	0.852	0.834	0.806	0.809	0.75	0.758	0.725	0.678	0.658	
