1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	1	1	0.999	1	1	0.999	0.998	1	0.999	0.997	0.998	0.996	0.997	1	0.995	0.997	0.994	0.995	0.996	0.99	0.988	0.99	0.983	0.989	0.986	0.988	0.991	0.987	0.987	0.981	0.979	0.971	0.984	0.978	0.97	0.981	0.985	0.977	0.981	0.977	0.981	0.974	0.982	0.985	0.985	0.987	0.988	0.982	0.979	0.978	0.971	0.984	0.979	0.973	0.971	0.965	0.949	0.963	0.937	0.927	0.917	0.891	0.851	0.858	0.807	0.758	0.721	0.668	0.588	
0.865	0.857	0.853	0.845	0.841	0.837	0.829	0.824	0.821	0.79	0.816	0.807	0.802	0.841	0.788	0.804	0.786	0.792	0.769	0.772	0.777	0.779	0.792	0.767	0.752	0.768	0.757	0.78	0.768	0.742	0.749	0.735	0.752	0.729	0.754	0.724	0.722	0.71	0.699	0.721	0.728	0.699	0.72	0.717	0.723	0.735	0.715	0.71	0.72	0.704	0.668	0.69	0.67	0.701	0.664	0.642	0.663	0.644	0.676	0.665	0.653	0.642	0.627	0.676	0.607	0.62	0.591	0.615	0.626	0.601	0.604	0.602	0.59	0.599	0.606	0.597	0.561	0.574	0.59	0.569	0.582	0.597	0.565	0.56	0.559	0.559	0.548	0.548	0.525	0.515	0.509	0.49	0.536	0.498	0.51	0.502	0.495	0.464	0.495	0.474	
0.938	0.936	0.937	0.949	0.923	0.931	0.921	0.929	0.923	0.931	0.913	0.901	0.909	0.91	0.908	0.908	0.905	0.909	0.904	0.895	0.904	0.892	0.898	0.888	0.899	0.89	0.896	0.904	0.898	0.886	0.886	0.875	0.887	0.879	0.867	0.859	0.85	0.853	0.841	0.844	0.841	0.834	0.823	0.834	0.822	0.85	0.829	0.831	0.812	0.795	0.821	0.812	0.778	0.777	0.798	0.794	0.779	0.776	0.752	0.76	0.764	0.739	0.735	0.749	0.722	0.709	0.701	0.712	0.713	0.69	0.663	0.681	0.658	0.628	0.646	0.639	0.604	0.607	0.611	0.612	0.558	0.546	0.55	0.524	0.482	0.485	0.457	0.427	0.448	0.406	0.38	0.354	0.347	0.304	0.245	0.253	0.21	0.205	0.177	0.145	
1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	0.999	1	1	1	1	1	0.999	1	0.999	0.999	0.999	1	1	0.998	0.997	0.999	1	1	0.998	0.998	0.998	1	1	1	0.997	0.997	0.996	0.999	0.995	0.996	0.993	0.996	0.996	0.988	0.994	0.992	0.991	0.996	0.982	0.987	0.984	0.98	0.983	0.979	0.979	0.976	0.976	0.969	0.962	0.972	0.97	0.965	0.959	0.948	0.941	0.937	0.943	0.935	0.938	0.92	0.904	0.889	0.882	0.87	0.839	0.834	0.817	0.794	0.789	0.755	0.734	0.685	0.679	0.648	0.596	0.552	0.496	0.445	0.419	0.381	0.347	0.282	0.241	0.203	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.996	0.999	0.996	0.999	0.997	0.996	0.992	0.994	0.992	0.988	0.986	0.976	0.982	0.968	0.966	0.965	0.947	0.94	0.946	0.926	0.916	0.915	0.899	0.878	0.843	0.854	0.805	0.798	0.779	0.763	0.752	0.706	0.711	0.646	0.631	0.612	0.58	0.58	0.543	0.491	0.511	0.434	0.434	0.453	0.384	0.382	0.378	0.309	0.275	0.286	0.251	0.208	0.216	0.193	0.188	0.165	0.153	0.13	0.122	0.102	0.1	0.082	0.068	0.06	0.051	0.056	0.038	0.037	0.035	0.026	0.029	0.025	0.016	0.028	0.021	0.025	0.015	0.019	0.016	0.015	0.018	0.026	0.015	0.021	0.025	
0.573	0.576	0.555	0.554	0.516	0.497	0.448	0.468	0.46	0.439	0.393	0.382	0.367	0.36	0.319	0.325	0.29	0.277	0.287	0.252	0.21	0.214	0.22	0.206	0.207	0.175	0.186	0.13	0.14	0.124	0.093	0.112	0.105	0.096	0.089	0.091	0.089	0.071	0.063	0.069	0.068	0.052	0.047	0.046	0.033	0.037	0.038	0.028	0.028	0.026	0.028	0.029	0.017	0.017	0.014	0.013	0.017	0.015	0.012	0.011	0.011	0.007	0.011	0.003	0.008	0.011	0.005	0.004	0.005	0.003	0.004	0.007	0.005	0.001	0.002	0.001	0.002	0.001	0.001	0.004	0.001	0	0	0.001	0.001	0.003	0	0.001	0.002	0	0	0	0	0.001	0	0	0	0	0	0	
1	1	1	1	1	1	1	0.999	1	1	0.999	1	1	0.999	0.997	1	1	0.999	0.998	0.999	0.998	0.998	0.996	0.996	0.994	0.999	0.996	0.997	0.993	0.994	0.994	0.998	0.989	0.989	0.988	0.988	0.986	0.986	0.992	0.986	0.984	0.978	0.971	0.98	0.975	0.976	0.974	0.977	0.969	0.959	0.952	0.963	0.941	0.936	0.945	0.932	0.906	0.924	0.914	0.922	0.918	0.886	0.89	0.871	0.891	0.87	0.839	0.834	0.818	0.823	0.838	0.791	0.81	0.756	0.768	0.739	0.731	0.7	0.687	0.68	0.676	0.654	0.626	0.616	0.63	0.56	0.571	0.523	0.507	0.481	0.461	0.436	0.428	0.424	0.378	0.338	0.313	0.319	0.268	0.263	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.999	0.999	0.998	1	0.993	0.991	0.994	0.996	0.993	
0.677	0.657	0.624	0.623	0.635	0.622	0.628	0.612	0.605	0.6	0.615	0.597	0.574	0.582	0.576	0.551	0.546	0.568	0.517	0.539	0.536	0.513	0.505	0.529	0.463	0.512	0.492	0.486	0.48	0.51	0.443	0.46	0.45	0.442	0.448	0.452	0.458	0.451	0.403	0.406	0.425	0.409	0.382	0.414	0.398	0.383	0.387	0.38	0.367	0.332	0.343	0.328	0.335	0.309	0.323	0.297	0.309	0.313	0.3	0.303	0.272	0.308	0.247	0.265	0.286	0.25	0.258	0.215	0.22	0.217	0.183	0.21	0.194	0.18	0.173	0.18	0.17	0.149	0.149	0.099	0.131	0.111	0.097	0.1	0.099	0.092	0.089	0.067	0.077	0.068	0.056	0.05	0.051	0.038	0.032	0.019	0.024	0.021	0.018	0.016	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	1	1	1	0.999	1	1	0.998	1	0.999	0.999	0.997	0.997	0.999	0.995	0.999	0.996	0.998	0.997	0.997	0.991	0.992	0.987	0.985	0.984	0.984	0.987	0.984	0.981	0.977	0.974	0.974	0.97	0.97	0.955	0.947	0.944	0.938	0.93	0.916	0.908	0.915	0.878	0.865	0.838	0.855	0.836	0.806	0.792	0.767	0.734	0.709	0.676	
