1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	0.999	1	1	0.998	0.999	1	0.997	0.997	0.996	0.993	0.995	0.991	0.99	0.988	0.988	0.981	0.982	0.979	0.976	0.97	0.967	0.965	0.965	0.959	0.946	0.953	0.942	0.925	0.928	0.929	0.901	0.9	0.88	0.89	0.875	0.877	0.85	0.848	0.85	0.831	0.817	0.792	0.79	0.763	0.76	0.746	0.75	0.743	0.702	0.705	0.673	0.661	0.653	0.655	0.623	0.626	0.594	0.548	0.596	0.554	
0.994	0.994	0.996	0.998	0.997	0.992	0.998	0.997	0.998	0.997	0.999	0.994	0.995	0.998	0.998	0.998	0.992	0.998	0.998	0.998	0.994	0.994	0.998	0.996	0.997	0.996	0.999	0.993	0.995	0.994	0.991	0.993	0.995	0.996	0.992	0.992	0.988	0.99	0.996	0.996	0.987	0.994	0.992	0.994	0.99	0.994	0.989	0.99	0.991	0.983	0.991	0.987	0.987	0.993	0.985	0.989	0.985	0.993	0.984	0.989	0.985	0.976	0.988	0.985	0.984	0.984	0.976	0.985	0.981	0.975	0.986	0.976	0.97	0.973	0.972	0.977	0.978	0.97	0.967	0.964	0.976	0.969	0.968	0.956	0.962	0.957	0.956	0.96	0.94	0.95	0.956	0.947	0.942	0.93	0.93	0.92	0.932	0.906	0.911	0.898	
1	0.999	0.997	0.999	1	1	0.998	0.995	0.998	0.994	0.993	0.996	0.996	0.997	0.99	0.995	0.989	0.985	0.987	0.984	0.987	0.974	0.981	0.981	0.975	0.973	0.965	0.969	0.963	0.965	0.962	0.955	0.954	0.95	0.932	0.954	0.944	0.945	0.936	0.918	0.91	0.928	0.913	0.916	0.899	0.912	0.906	0.896	0.888	0.883	0.893	0.884	0.881	0.872	0.85	0.861	0.846	0.876	0.85	0.867	0.855	0.848	0.842	0.857	0.826	0.82	0.842	0.839	0.822	0.823	0.808	0.831	0.817	0.806	0.806	0.79	0.793	0.793	0.773	0.778	0.749	0.769	0.756	0.743	0.748	0.755	0.72	0.748	0.739	0.713	0.729	0.717	0.671	0.674	0.688	0.675	0.64	0.629	0.614	0.59	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	1	1	1	1	0.998	0.999	0.999	1	0.998	0.997	0.999	0.999	0.998	0.992	0.996	0.998	0.995	0.993	0.989	0.994	0.988	0.994	0.983	0.988	0.99	0.984	0.978	0.982	0.988	0.984	0.972	0.966	0.971	0.958	0.97	0.957	0.959	0.939	0.937	0.943	0.958	0.925	0.936	0.926	0.914	0.908	0.909	0.899	0.903	0.903	0.867	0.88	0.865	0.873	0.842	0.841	0.843	0.848	0.829	0.79	0.792	0.775	0.776	0.775	0.738	0.735	0.722	0.707	0.692	0.665	0.658	0.637	0.63	0.647	0.593	0.589	0.534	0.521	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	0.999	1	1	1	0.999	0.997	0.999	0.996	0.996	0.994	0.994	0.995	0.991	0.989	0.983	0.979	0.979	0.966	0.958	0.935	0.896	0.885	
1	1	1	1	1	1	1	1	1	1	0.999	1	0.998	1	1	0.998	0.999	1	0.996	0.997	0.998	0.998	0.992	0.996	0.992	0.993	0.994	0.985	0.982	0.982	0.982	0.978	0.983	0.971	0.958	0.954	0.963	0.957	0.938	0.947	0.945	0.932	0.928	0.919	0.939	0.91	0.908	0.89	0.897	0.884	0.876	0.87	0.856	0.833	0.838	0.856	0.83	0.809	0.792	0.792	0.807	0.786	0.777	0.76	0.755	0.738	0.719	0.696	0.698	0.682	0.687	0.669	0.666	0.642	0.659	0.623	0.627	0.618	0.604	0.578	0.575	0.545	0.516	0.523	0.518	0.525	0.51	0.489	0.486	0.466	0.457	0.447	0.407	0.442	0.423	0.425	0.424	0.37	0.397	0.374	
0.817	0.836	0.797	0.793	0.8	0.786	0.766	0.746	0.731	0.734	0.715	0.709	0.71	0.7	0.711	0.683	0.667	0.683	0.665	0.641	0.639	0.605	0.649	0.584	0.613	0.558	0.626	0.566	0.569	0.51	0.544	0.527	0.513	0.501	0.524	0.476	0.476	0.479	0.476	0.452	0.433	0.441	0.426	0.423	0.415	0.385	0.363	0.353	0.407	0.408	0.352	0.37	0.353	0.345	0.328	0.346	0.302	0.324	0.298	0.324	0.3	0.277	0.266	0.239	0.25	0.256	0.242	0.253	0.233	0.205	0.217	0.204	0.212	0.191	0.171	0.188	0.157	0.142	0.161	0.13	0.133	0.099	0.114	0.099	0.096	0.095	0.087	0.065	0.066	0.051	0.054	0.041	0.055	0.021	0.035	0.016	0.015	0.015	0.013	0.009	
0.115	0.111	0.114	0.11	0.098	0.091	0.068	0.076	0.072	0.069	0.059	0.055	0.048	0.031	0.034	0.034	0.033	0.03	0.025	0.019	0.023	0.012	0.01	0.01	0.014	0.016	0.009	0.004	0.007	0.01	0.003	0.003	0.004	0.003	0.001	0.002	0.004	0.003	0.001	0.001	0.001	0.001	0	0	0	0.001	0	0	0	0	0.001	0	0.001	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	0.999	1	0.999	1	0.997	0.998	0.997	0.997	0.994	0.997	0.997	0.998	0.996	0.998	0.993	0.986	0.983	0.987	0.984	0.981	0.973	0.976	0.964	0.98	0.964	0.951	0.944	0.938	0.913	0.919	0.914	0.902	0.892	0.87	0.814	0.825	0.795	0.756	0.732	0.718	0.651	0.636	0.608	0.546	0.536	0.484	0.453	0.421	0.396	
1	1	0.999	1	0.999	0.998	1	0.999	1	0.999	0.998	1	0.999	0.999	0.998	1	0.999	0.999	0.997	0.996	0.996	0.998	0.999	0.998	0.992	0.994	0.993	0.994	0.994	0.989	0.994	0.989	0.991	0.99	0.988	0.985	0.978	0.978	0.977	0.979	0.979	0.974	0.976	0.965	0.971	0.97	0.971	0.962	0.953	0.963	0.966	0.95	0.944	0.958	0.936	0.936	0.933	0.94	0.924	0.918	0.927	0.906	0.889	0.908	0.888	0.87	0.868	0.859	0.862	0.836	0.855	0.803	0.769	0.778	0.764	0.703	0.696	0.675	0.639	0.613	0.564	0.55	0.519	0.484	0.426	0.385	0.341	0.322	0.269	0.241	0.201	0.177	0.148	0.095	0.094	0.066	0.048	0.05	0.041	0.027	
