1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	0.998	0.998	0.997	0.998	0.997	0.998	0.995	0.994	0.994	0.986	0.986	0.982	0.978	0.978	0.977	0.968	0.943	0.952	0.939	0.938	0.929	0.902	0.909	0.899	0.897	0.873	0.838	0.846	0.8	0.805	0.778	0.78	0.722	0.708	0.685	0.634	0.644	0.621	0.576	0.588	0.543	0.539	0.527	0.508	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	0.998	1	0.996	0.999	0.999	0.995	0.995	0.995	0.989	0.989	0.991	0.988	0.979	0.978	0.97	0.962	0.954	0.949	0.907	0.916	0.876	0.87	0.837	0.811	0.801	0.756	0.721	0.69	0.653	0.629	0.559	0.539	0.531	0.479	0.467	0.411	0.399	0.338	0.357	0.313	0.282	0.278	0.25	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	0.999	0.999	0.998	0.998	0.997	0.999	0.997	0.997	0.994	0.994	0.996	0.997	0.996	0.994	0.994	0.988	0.986	0.992	0.986	0.987	0.977	0.967	0.965	0.951	0.945	0.93	0.894	0.891	0.871	0.84	0.805	0.763	0.705	0.706	0.634	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	1	1	1	1	1	1	1	1	0.999	0.998	1	0.999	1	1	1	0.998	1	0.999	1	1	1	0.999	1	0.999	1	1	1	1	0.998	1	1	0.999	0.998	0.998	0.999	0.998	0.995	0.997	0.996	0.996	0.998	0.995	0.997	0.996	0.994	0.997	0.994	0.993	0.995	0.994	0.996	0.987	0.992	0.988	0.983	0.988	0.972	0.98	0.959	0.947	0.934	0.922	0.901	0.883	
0.39	0.368	0.337	0.3	0.31	0.276	0.274	0.252	0.255	0.223	0.215	0.215	0.201	0.187	0.162	0.173	0.151	0.146	0.137	0.167	0.13	0.134	0.132	0.118	0.108	0.12	0.094	0.099	0.088	0.077	0.075	0.079	0.072	0.05	0.055	0.065	0.06	0.052	0.058	0.045	0.048	0.049	0.043	0.05	0.031	0.039	0.035	0.033	0.037	0.024	0.03	0.033	0.024	0.036	0.023	0.024	0.028	0.022	0.03	0.021	0.018	0.02	0.021	0.024	0.02	0.016	0.024	0.013	0.021	0.019	0.024	0.013	0.013	0.015	0.021	0.02	0.014	0.025	0.019	0.015	0.021	0.02	0.026	0.019	0.029	0.014	0.018	0.025	0.017	0.019	0.022	0.019	0.012	0.03	0.02	0.025	0.016	0.016	0.024	0.022	
0.31	0.313	0.297	0.276	0.3	0.3	0.285	0.32	0.303	0.291	0.289	0.276	0.276	0.293	0.292	0.268	0.298	0.279	0.275	0.269	0.286	0.293	0.275	0.296	0.26	0.26	0.266	0.255	0.255	0.239	0.288	0.257	0.25	0.247	0.234	0.255	0.224	0.246	0.249	0.238	0.223	0.223	0.218	0.228	0.239	0.225	0.197	0.223	0.185	0.213	0.194	0.2	0.197	0.208	0.191	0.18	0.162	0.173	0.17	0.182	0.186	0.15	0.153	0.142	0.147	0.164	0.155	0.15	0.133	0.123	0.143	0.118	0.116	0.115	0.099	0.095	0.104	0.077	0.092	0.073	0.059	0.07	0.066	0.055	0.052	0.036	0.044	0.042	0.039	0.027	0.02	0.029	0.017	0.015	0.01	0.01	0.007	0.006	0.005	0.005	
1	1	0.998	0.999	1	0.997	0.997	0.99	0.996	0.996	0.994	0.999	0.995	0.995	0.989	0.986	0.989	0.986	0.977	0.979	0.983	0.963	0.971	0.972	0.957	0.956	0.946	0.948	0.938	0.943	0.941	0.916	0.922	0.912	0.909	0.889	0.888	0.888	0.889	0.886	0.86	0.849	0.862	0.838	0.825	0.792	0.832	0.791	0.788	0.778	0.782	0.756	0.738	0.709	0.728	0.725	0.661	0.69	0.684	0.671	0.628	0.638	0.618	0.604	0.595	0.564	0.591	0.525	0.548	0.529	0.537	0.514	0.484	0.468	0.466	0.454	0.452	0.467	0.441	0.434	0.403	0.413	0.432	0.43	0.408	0.355	0.418	0.373	0.408	0.422	0.388	0.41	0.415	0.425	0.437	0.406	0.401	0.388	0.436	0.386	
0.031	0.012	0.019	0.025	0.017	0.026	0.015	0.016	0.016	0.014	0.013	0.007	0.009	0.009	0.012	0.009	0.008	0.01	0.007	0.011	0.011	0.011	0.01	0.007	0.008	0.004	0.004	0.008	0.006	0.003	0.005	0.003	0.003	0.003	0.003	0.004	0.007	0.001	0.002	0	0	0.004	0.005	0	0.001	0.002	0.001	0	0.001	0	0.001	0.001	0	0.001	0	0	0	0.001	0	0	0	0.001	0.001	0.001	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.998	1	1	1	0.998	1	1	0.999	0.999	1	0.999	0.997	0.999	0.996	0.995	0.994	0.997	0.997	0.995	0.99	0.995	0.994	0.991	0.988	0.98	0.981	0.983	0.977	0.978	0.976	0.977	0.974	0.959	0.958	0.956	0.959	0.951	0.948	0.931	0.923	0.926	0.922	0.912	0.897	0.895	0.889	0.859	0.861	0.853	0.841	0.817	0.798	0.779	0.793	0.771	0.71	0.712	0.662	0.655	0.645	0.606	0.599	0.547	0.532	0.473	0.473	0.433	0.392	0.365	0.335	0.298	0.279	
