1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	0.999	1	0.999	0.998	0.999	0.999	0.998	0.999	0.994	0.999	0.994	0.991	0.994	0.987	0.991	0.988	0.985	0.987	0.977	0.982	0.98	0.976	0.978	0.966	0.954	0.954	0.965	0.945	0.942	0.939	0.924	0.924	0.926	0.91	0.903	0.894	0.896	0.901	0.878	0.857	0.855	0.851	0.852	0.815	0.798	0.832	0.808	0.817	0.794	0.813	0.802	0.782	0.778	0.778	0.757	0.782	0.795	0.78	0.788	0.771	0.805	0.808	0.788	0.793	0.82	0.84	0.861	0.835	0.862	0.873	0.866	0.879	0.885	0.882	0.852	
0.421	0.426	0.368	0.383	0.403	0.347	0.367	0.364	0.357	0.339	0.348	0.304	0.338	0.314	0.298	0.29	0.274	0.275	0.272	0.266	0.26	0.262	0.233	0.213	0.233	0.217	0.211	0.2	0.203	0.191	0.185	0.188	0.174	0.132	0.154	0.151	0.141	0.123	0.13	0.12	0.121	0.133	0.119	0.093	0.098	0.085	0.101	0.09	0.089	0.084	0.073	0.071	0.069	0.084	0.064	0.056	0.062	0.058	0.054	0.039	0.048	0.06	0.036	0.05	0.042	0.039	0.037	0.033	0.031	0.03	0.038	0.026	0.032	0.024	0.039	0.026	0.026	0.03	0.021	0.022	0.021	0.029	0.022	0.026	0.017	0.029	0.013	0.015	0.023	0.021	0.024	0.017	0.018	0.014	0.019	0.02	0.008	0.016	0.016	0.013	
1	1	1	1	1	0.998	1	0.999	1	1	0.999	0.998	0.998	0.998	0.999	1	0.998	0.997	0.995	0.998	0.993	0.991	0.993	0.987	0.992	0.99	0.979	0.99	0.981	0.985	0.969	0.974	0.968	0.967	0.959	0.969	0.95	0.955	0.948	0.948	0.942	0.93	0.936	0.93	0.915	0.912	0.91	0.914	0.893	0.858	0.885	0.845	0.861	0.865	0.829	0.8	0.811	0.808	0.771	0.771	0.777	0.749	0.757	0.718	0.682	0.686	0.67	0.654	0.623	0.63	0.599	0.582	0.605	0.536	0.519	0.504	0.498	0.458	0.462	0.417	0.404	0.374	0.359	0.328	0.327	0.311	0.282	0.248	0.268	0.208	0.165	0.185	0.168	0.167	0.136	0.138	0.115	0.12	0.088	0.087	
1	0.996	0.997	0.995	0.995	0.997	0.998	0.996	0.996	0.997	0.999	0.995	0.997	0.995	0.996	0.994	0.995	0.99	0.996	0.996	0.998	0.992	0.992	0.992	0.996	0.991	0.987	0.991	0.987	0.99	0.982	0.991	0.981	0.993	0.987	0.981	0.987	0.982	0.983	0.971	0.97	0.968	0.972	0.975	0.971	0.967	0.969	0.961	0.965	0.964	0.959	0.953	0.956	0.957	0.94	0.947	0.94	0.953	0.918	0.934	0.921	0.927	0.913	0.908	0.882	0.889	0.9	0.883	0.868	0.843	0.841	0.842	0.862	0.812	0.795	0.792	0.753	0.754	0.751	0.706	0.699	0.688	0.663	0.656	0.635	0.587	0.578	0.541	0.539	0.534	0.492	0.456	0.454	0.41	0.418	0.401	0.348	0.361	0.325	0.318	
0.366	0.369	0.385	0.426	0.392	0.391	0.377	0.442	0.422	0.437	0.439	0.431	0.473	0.473	0.483	0.472	0.468	0.493	0.516	0.523	0.49	0.526	0.537	0.535	0.527	0.567	0.564	0.608	0.589	0.6	0.608	0.573	0.628	0.614	0.598	0.62	0.628	0.623	0.604	0.601	0.614	0.604	0.598	0.562	0.557	0.56	0.574	0.516	0.558	0.534	0.492	0.469	0.451	0.431	0.44	0.426	0.402	0.363	0.368	0.332	0.308	0.303	0.277	0.257	0.215	0.206	0.187	0.168	0.144	0.149	0.129	0.121	0.086	0.085	0.076	0.064	0.059	0.046	0.039	0.03	0.033	0.023	0.016	0.02	0.011	0.006	0.003	0.013	0.01	0.008	0.002	0.008	0.007	0.01	0.007	0.005	0.008	0.006	0.005	0.005	
0.772	0.788	0.768	0.778	0.738	0.778	0.735	0.744	0.756	0.752	0.72	0.74	0.741	0.711	0.735	0.695	0.695	0.712	0.678	0.666	0.688	0.646	0.654	0.656	0.624	0.653	0.651	0.583	0.625	0.592	0.597	0.627	0.579	0.583	0.606	0.56	0.515	0.551	0.56	0.537	0.506	0.506	0.487	0.49	0.471	0.466	0.486	0.434	0.451	0.417	0.413	0.398	0.378	0.404	0.364	0.329	0.34	0.349	0.308	0.299	0.277	0.268	0.257	0.25	0.235	0.244	0.24	0.191	0.204	0.176	0.149	0.152	0.175	0.122	0.126	0.119	0.096	0.104	0.082	0.081	0.079	0.05	0.062	0.06	0.043	0.047	0.034	0.032	0.024	0.017	0.017	0.03	0.012	0.014	0.011	0.01	0.012	0.004	0.004	0.002	
0.992	0.997	0.994	0.99	0.985	0.989	0.982	0.979	0.974	0.985	0.97	0.968	0.963	0.96	0.953	0.949	0.948	0.927	0.92	0.932	0.908	0.902	0.887	0.884	0.852	0.863	0.861	0.845	0.845	0.817	0.815	0.801	0.802	0.764	0.759	0.749	0.726	0.697	0.736	0.717	0.693	0.64	0.638	0.639	0.667	0.603	0.602	0.578	0.545	0.562	0.525	0.51	0.503	0.488	0.44	0.469	0.411	0.438	0.418	0.389	0.391	0.36	0.335	0.305	0.296	0.293	0.263	0.256	0.247	0.236	0.215	0.202	0.21	0.173	0.191	0.161	0.148	0.138	0.146	0.125	0.079	0.1	0.085	0.076	0.08	0.078	0.061	0.038	0.041	0.033	0.044	0.03	0.024	0.016	0.017	0.017	0.01	0.01	0.006	0.003	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	0.999	1	1	0.999	1	0.999	1	1	0.999	1	0.997	0.997	0.998	0.998	1	0.997	0.995	0.998	0.998	0.994	0.994	0.996	0.996	0.992	0.989	0.994	0.989	0.986	0.994	0.99	0.993	0.988	0.983	0.987	0.982	0.98	0.975	0.976	0.969	0.956	0.959	0.961	0.961	0.95	0.942	0.931	0.932	0.934	0.929	0.916	0.905	0.902	0.862	0.862	0.851	0.844	0.838	0.803	0.816	0.782	0.744	0.756	0.733	0.726	0.697	0.668	0.643	0.61	0.616	0.566	0.569	0.523	0.53	0.492	0.455	0.465	0.434	0.407	0.334	0.32	0.336	
0.987	0.992	0.987	0.987	0.989	0.993	0.989	0.994	0.992	0.99	0.992	0.989	0.991	0.986	0.989	0.991	0.991	0.989	0.987	0.995	0.995	0.99	0.989	0.991	0.992	0.985	0.983	0.988	0.992	0.991	0.991	0.982	0.985	0.99	0.994	0.986	0.988	0.985	0.991	0.986	0.988	0.989	0.987	0.986	0.99	0.989	0.988	0.984	0.984	0.984	0.984	0.989	0.98	0.98	0.984	0.975	0.984	0.971	0.978	0.976	0.971	0.973	0.972	0.969	0.965	0.973	0.958	0.975	0.967	0.97	0.971	0.968	0.967	0.971	0.964	0.963	0.967	0.964	0.966	0.963	0.968	0.973	0.966	0.966	0.973	0.971	0.977	0.976	0.986	0.983	0.981	0.982	0.987	0.984	0.993	0.987	0.995	0.99	0.992	0.988	
0.999	0.995	0.999	0.992	0.999	0.998	0.996	1	0.996	0.993	0.994	0.996	0.988	0.983	0.988	0.99	0.979	0.979	0.985	0.987	0.983	0.974	0.975	0.982	0.972	0.969	0.971	0.963	0.967	0.953	0.944	0.942	0.955	0.945	0.949	0.918	0.929	0.922	0.925	0.908	0.907	0.892	0.864	0.902	0.868	0.86	0.863	0.864	0.857	0.835	0.816	0.81	0.802	0.793	0.774	0.739	0.733	0.734	0.701	0.702	0.67	0.677	0.683	0.618	0.62	0.591	0.542	0.535	0.514	0.498	0.451	0.446	0.422	0.387	0.39	0.346	0.302	0.274	0.267	0.257	0.241	0.218	0.191	0.173	0.139	0.124	0.092	0.07	0.074	0.053	0.048	0.03	0.025	0.027	0.016	0.015	0.021	0.008	0.011	0.008	
0.149	0.139	0.119	0.137	0.138	0.116	0.133	0.129	0.1	0.127	0.112	0.101	0.121	0.108	0.109	0.12	0.099	0.111	0.091	0.089	0.109	0.111	0.093	0.088	0.09	0.086	0.103	0.091	0.106	0.085	0.081	0.081	0.075	0.08	0.094	0.07	0.093	0.082	0.099	0.077	0.079	0.09	0.07	0.072	0.075	0.071	0.071	0.074	0.071	0.056	0.081	0.093	0.072	0.075	0.067	0.08	0.081	0.07	0.074	0.074	0.078	0.067	0.063	0.081	0.073	0.068	0.063	0.071	0.055	0.055	0.068	0.06	0.058	0.066	0.05	0.052	0.059	0.054	0.051	0.042	0.056	0.047	0.05	0.037	0.039	0.03	0.032	0.034	0.027	0.023	0.025	0.029	0.018	0.012	0.017	0.012	0.012	0.006	0.005	0.004	
1	1	1	1	1	0.999	1	1	0.998	0.999	1	0.999	0.998	0.999	0.998	0.997	0.997	0.998	0.999	0.994	0.996	0.997	0.998	0.998	0.993	0.996	0.994	0.996	0.99	0.991	0.99	0.99	0.991	0.981	0.981	0.988	0.985	0.978	0.979	0.987	0.977	0.977	0.975	0.976	0.968	0.961	0.971	0.969	0.966	0.955	0.955	0.949	0.941	0.938	0.933	0.957	0.939	0.93	0.937	0.927	0.92	0.918	0.919	0.906	0.907	0.875	0.883	0.892	0.873	0.88	0.867	0.879	0.85	0.846	0.854	0.839	0.836	0.837	0.802	0.81	0.802	0.793	0.785	0.779	0.785	0.761	0.754	0.77	0.751	0.76	0.716	0.692	0.7	0.682	0.702	0.682	0.654	0.659	0.638	0.629	
0.421	0.393	0.392	0.381	0.352	0.316	0.321	0.328	0.277	0.255	0.244	0.238	0.209	0.228	0.21	0.222	0.184	0.176	0.178	0.16	0.149	0.118	0.125	0.134	0.116	0.101	0.111	0.106	0.092	0.095	0.109	0.081	0.094	0.066	0.065	0.083	0.078	0.064	0.068	0.063	0.044	0.054	0.05	0.039	0.042	0.053	0.043	0.025	0.031	0.04	0.029	0.029	0.031	0.031	0.023	0.039	0.032	0.028	0.029	0.01	0.025	0.027	0.021	0.024	0.022	0.022	0.018	0.021	0.021	0.02	0.024	0.014	0.017	0.018	0.022	0.015	0.025	0.024	0.027	0.029	0.012	0.027	0.02	0.018	0.017	0.02	0.025	0.033	0.034	0.039	0.036	0.056	0.04	0.049	0.053	0.051	0.06	0.07	0.078	0.081	
1	1	1	1	1	1	0.999	0.999	0.999	0.998	0.998	0.998	0.994	1	0.994	0.992	0.992	0.991	0.991	0.989	0.984	0.983	0.98	0.989	0.975	0.974	0.968	0.959	0.969	0.966	0.953	0.953	0.946	0.946	0.936	0.934	0.935	0.942	0.923	0.919	0.923	0.921	0.89	0.909	0.901	0.894	0.878	0.874	0.892	0.86	0.861	0.85	0.838	0.843	0.832	0.832	0.832	0.831	0.811	0.814	0.831	0.815	0.816	0.807	0.799	0.791	0.798	0.795	0.823	0.817	0.809	0.821	0.828	0.829	0.807	0.819	0.832	0.807	0.84	0.834	0.84	0.839	0.855	0.827	0.871	0.865	0.864	0.861	0.871	0.863	0.871	0.871	0.873	0.87	0.877	0.879	0.875	0.854	0.828	0.831	
0.81	0.826	0.778	0.767	0.744	0.787	0.75	0.755	0.746	0.728	0.728	0.691	0.703	0.707	0.694	0.684	0.674	0.684	0.692	0.683	0.684	0.695	0.698	0.67	0.653	0.69	0.626	0.631	0.636	0.621	0.657	0.637	0.622	0.663	0.664	0.659	0.657	0.632	0.634	0.675	0.644	0.62	0.637	0.654	0.663	0.658	0.653	0.667	0.673	0.688	0.679	0.67	0.679	0.671	0.683	0.691	0.711	0.707	0.714	0.728	0.708	0.727	0.761	0.734	0.739	0.753	0.771	0.76	0.788	0.789	0.772	0.802	0.818	0.849	0.834	0.818	0.829	0.855	0.872	0.855	0.866	0.879	0.898	0.905	0.895	0.901	0.906	0.918	0.938	0.934	0.939	0.959	0.944	0.947	0.969	0.956	0.97	0.974	0.97	0.967	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	0.999	0.998	1	0.999	1	0.999	0.998	0.999	0.999	0.999	0.997	0.998	0.997	0.995	0.99	0.991	0.999	0.993	0.99	0.993	0.988	0.993	0.992	0.987	0.984	0.977	0.978	0.966	0.974	0.967	0.966	0.962	0.952	0.948	0.937	0.934	0.922	0.906	0.906	0.874	0.857	0.818	0.785	0.748	0.733	0.648	0.608	0.553	
0.647	0.666	0.655	0.634	0.618	0.643	0.625	0.62	0.59	0.578	0.612	0.577	0.619	0.579	0.568	0.559	0.553	0.544	0.53	0.547	0.575	0.53	0.552	0.523	0.506	0.521	0.525	0.501	0.516	0.503	0.507	0.501	0.504	0.493	0.504	0.494	0.497	0.501	0.488	0.488	0.471	0.46	0.471	0.447	0.473	0.457	0.438	0.438	0.48	0.448	0.442	0.454	0.439	0.452	0.455	0.415	0.443	0.45	0.456	0.463	0.441	0.441	0.454	0.399	0.446	0.432	0.422	0.413	0.407	0.434	0.41	0.424	0.43	0.41	0.44	0.405	0.419	0.436	0.449	0.43	0.429	0.407	0.394	0.395	0.398	0.363	0.357	0.323	0.309	0.276	0.259	0.273	0.215	0.199	0.168	0.144	0.129	0.096	0.091	0.072	
0.88	0.886	0.858	0.862	0.856	0.828	0.799	0.793	0.79	0.782	0.762	0.768	0.726	0.723	0.722	0.707	0.707	0.666	0.659	0.668	0.632	0.63	0.592	0.602	0.58	0.588	0.554	0.532	0.523	0.502	0.494	0.484	0.48	0.443	0.45	0.437	0.433	0.432	0.414	0.395	0.397	0.348	0.381	0.337	0.337	0.335	0.323	0.29	0.275	0.262	0.266	0.254	0.257	0.244	0.213	0.222	0.21	0.201	0.187	0.18	0.166	0.173	0.154	0.143	0.158	0.163	0.138	0.118	0.124	0.103	0.094	0.112	0.092	0.105	0.111	0.093	0.092	0.09	0.076	0.068	0.081	0.078	0.078	0.059	0.07	0.059	0.064	0.046	0.052	0.045	0.04	0.036	0.044	0.028	0.035	0.028	0.028	0.02	0.021	0.016	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0.713	0.754	0.734	0.745	0.732	0.77	0.756	0.728	0.738	0.743	0.729	0.734	0.719	0.714	0.715	0.713	0.744	0.695	0.71	0.732	0.721	0.694	0.695	0.68	0.686	0.658	0.675	0.682	0.618	0.67	0.642	0.651	0.639	0.631	0.654	0.64	0.614	0.601	0.57	0.605	0.6	0.574	0.559	0.584	0.549	0.568	0.551	0.546	0.519	0.49	0.507	0.472	0.499	0.444	0.416	0.433	0.432	0.376	0.399	0.374	0.325	0.325	0.339	0.307	0.307	0.295	0.275	0.284	0.25	0.255	0.251	0.218	0.215	0.187	0.187	0.178	0.15	0.169	0.135	0.126	0.133	0.123	0.108	0.109	0.111	0.087	0.094	0.093	0.073	0.065	0.071	0.081	0.065	0.07	0.065	0.064	0.062	0.061	0.07	0.049	
0.019	0.015	0.011	0.023	0.015	0.02	0.017	0.016	0.025	0.026	0.027	0.034	0.023	0.033	0.027	0.03	0.022	0.027	0.03	0.036	0.025	0.033	0.036	0.032	0.024	0.037	0.047	0.044	0.037	0.035	0.044	0.048	0.049	0.042	0.057	0.065	0.053	0.065	0.059	0.061	0.061	0.075	0.075	0.07	0.081	0.08	0.056	0.077	0.075	0.1	0.087	0.104	0.089	0.091	0.104	0.099	0.114	0.103	0.099	0.103	0.113	0.109	0.129	0.121	0.107	0.125	0.125	0.136	0.131	0.157	0.145	0.168	0.146	0.164	0.162	0.147	0.191	0.186	0.204	0.185	0.205	0.223	0.261	0.264	0.274	0.273	0.312	0.321	0.326	0.385	0.383	0.389	0.434	0.45	0.484	0.487	0.504	0.528	0.558	0.568	
0.99	0.987	0.985	0.972	0.977	0.976	0.98	0.973	0.974	0.965	0.965	0.964	0.953	0.945	0.945	0.934	0.932	0.929	0.918	0.904	0.88	0.895	0.884	0.855	0.856	0.84	0.851	0.823	0.788	0.793	0.767	0.736	0.71	0.726	0.69	0.665	0.64	0.615	0.591	0.592	0.561	0.529	0.49	0.46	0.455	0.421	0.423	0.396	0.369	0.305	0.325	0.314	0.257	0.262	0.238	0.212	0.217	0.191	0.196	0.182	0.149	0.131	0.119	0.112	0.102	0.1	0.1	0.071	0.085	0.067	0.062	0.055	0.037	0.037	0.036	0.028	0.028	0.035	0.029	0.024	0.016	0.016	0.016	0.022	0.016	0.009	0.014	0.009	0.011	0.008	0.01	0.006	0.007	0.003	0.004	0.003	0.002	0.007	0.002	0.002	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	0.998	0.998	1	0.999	1	0.999	0.999	0.997	0.999	0.999	0.997	0.997	0.999	0.998	0.997	0.997	0.995	0.994	0.99	0.99	0.992	0.992	0.989	0.99	0.986	0.983	0.977	0.969	0.968	0.961	0.954	0.945	0.95	0.941	0.925	0.894	0.915	0.887	0.856	0.837	
0	0	0	0.001	0.002	0.003	0.002	0.001	0	0.001	0.001	0.003	0.001	0	0.003	0.001	0.001	0.001	0	0.004	0	0.003	0.006	0.001	0.003	0.004	0.004	0.003	0	0.003	0.004	0.005	0.007	0.001	0.001	0.004	0.003	0.01	0.006	0.008	0.003	0.006	0.006	0.006	0.004	0.005	0.008	0.004	0.003	0.014	0.001	0.01	0.004	0.009	0.01	0.005	0.007	0.005	0.016	0.015	0.008	0.012	0.008	0.011	0.012	0.013	0.015	0.007	0.015	0.011	0.012	0.005	0.007	0.007	0.005	0.004	0.003	0.007	0.004	0.007	0.004	0.005	0.002	0.001	0.002	0.006	0.004	0.003	0	0.001	0	0	0.001	0	0	0.002	0.001	0.001	0.001	0.001	
0.708	0.664	0.667	0.665	0.646	0.639	0.639	0.606	0.608	0.631	0.623	0.607	0.617	0.589	0.582	0.572	0.614	0.586	0.559	0.577	0.573	0.577	0.541	0.561	0.55	0.559	0.556	0.519	0.542	0.519	0.519	0.511	0.545	0.483	0.516	0.522	0.513	0.553	0.515	0.488	0.492	0.468	0.534	0.493	0.493	0.508	0.5	0.498	0.493	0.473	0.492	0.497	0.468	0.51	0.489	0.465	0.485	0.451	0.488	0.475	0.475	0.431	0.446	0.446	0.456	0.418	0.455	0.44	0.441	0.428	0.385	0.416	0.428	0.425	0.409	0.386	0.378	0.382	0.367	0.33	0.336	0.335	0.311	0.285	0.253	0.243	0.252	0.213	0.203	0.172	0.149	0.158	0.129	0.11	0.085	0.084	0.067	0.064	0.062	0.049	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	0.999	1	1	1	0.999	1	1	0.997	0.998	0.996	0.999	0.997	0.999	0.994	0.995	1	0.996	0.995	0.992	0.994	0.993	0.991	0.993	0.985	0.985	0.991	0.987	0.989	0.98	0.98	0.986	0.983	0.978	0.971	0.972	0.976	0.976	0.957	0.968	0.957	0.97	0.966	0.953	0.949	0.944	0.939	0.933	0.924	0.938	0.923	0.926	0.896	0.903	0.903	0.896	0.888	0.864	0.859	0.869	0.838	0.846	0.832	0.822	0.81	0.803	0.77	0.753	0.765	0.742	0.697	0.646	0.648	0.618	0.605	0.533	0.527	0.493	0.425	0.404	
0.222	0.259	0.254	0.245	0.251	0.241	0.25	0.258	0.255	0.259	0.228	0.248	0.242	0.267	0.283	0.25	0.287	0.298	0.292	0.291	0.29	0.275	0.295	0.288	0.283	0.29	0.298	0.307	0.278	0.287	0.287	0.296	0.306	0.306	0.306	0.317	0.3	0.32	0.306	0.298	0.291	0.278	0.294	0.288	0.332	0.297	0.311	0.271	0.289	0.276	0.294	0.292	0.292	0.273	0.269	0.285	0.285	0.277	0.292	0.282	0.27	0.271	0.282	0.265	0.285	0.248	0.264	0.269	0.252	0.242	0.223	0.254	0.241	0.248	0.261	0.235	0.233	0.243	0.256	0.229	0.255	0.24	0.24	0.239	0.22	0.226	0.219	0.219	0.206	0.205	0.217	0.193	0.218	0.165	0.17	0.134	0.151	0.116	0.111	0.11	
