0.95	0.943	0.942	0.924	0.904	0.923	0.914	0.914	0.89	0.885	0.871	0.861	0.851	0.84	0.814	0.824	0.825	0.81	0.816	0.784	0.762	0.735	0.749	0.72	0.726	0.718	0.682	0.68	0.656	0.634	0.622	0.636	0.595	0.609	0.567	0.561	0.548	0.532	0.473	0.526	0.484	0.447	0.454	0.443	0.422	0.409	0.412	0.409	0.359	0.37	0.355	0.357	0.304	0.319	0.27	0.269	0.261	0.279	0.271	0.245	0.239	0.243	0.217	0.206	0.226	0.176	0.176	0.18	0.175	0.159	0.164	0.148	0.142	0.149	0.125	0.113	0.125	0.112	0.114	0.089	0.09	0.078	0.083	0.076	0.068	0.058	0.044	0.064	0.049	0.038	0.043	0.03	0.028	0.022	0.023	0.011	0.015	0.01	0.012	0.006	
0.997	0.994	0.989	0.994	0.994	0.989	0.994	0.992	0.988	0.994	0.983	0.995	0.99	0.987	0.986	0.985	0.99	0.987	0.986	0.988	0.988	0.984	0.987	0.981	0.989	0.98	0.973	0.978	0.98	0.975	0.976	0.977	0.978	0.957	0.972	0.969	0.965	0.969	0.97	0.963	0.957	0.954	0.963	0.948	0.957	0.967	0.952	0.966	0.938	0.947	0.955	0.956	0.958	0.955	0.96	0.948	0.941	0.952	0.955	0.944	0.95	0.949	0.935	0.945	0.948	0.957	0.946	0.951	0.951	0.939	0.953	0.957	0.94	0.93	0.938	0.956	0.942	0.935	0.939	0.923	0.923	0.922	0.916	0.901	0.892	0.874	0.861	0.858	0.837	0.815	0.811	0.773	0.733	0.759	0.722	0.671	0.704	0.657	0.614	0.612	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.999	1	1	1	1	1	1	1	1	1	1	1	0.999	0.999	0.997	0.999	0.999	0.999	0.994	0.996	0.992	0.993	0.987	0.993	0.989	0.985	0.984	0.976	0.968	0.97	0.963	0.953	0.937	0.932	
0.854	0.878	0.862	0.804	0.794	0.81	0.784	0.776	0.749	0.739	0.742	0.718	0.716	0.705	0.664	0.683	0.678	0.671	0.661	0.652	0.609	0.608	0.566	0.553	0.565	0.54	0.539	0.532	0.5	0.471	0.482	0.458	0.469	0.411	0.426	0.402	0.426	0.395	0.391	0.343	0.362	0.344	0.344	0.347	0.308	0.346	0.303	0.299	0.294	0.289	0.288	0.281	0.253	0.249	0.259	0.24	0.213	0.242	0.269	0.234	0.229	0.233	0.234	0.216	0.224	0.228	0.217	0.225	0.236	0.212	0.209	0.227	0.215	0.194	0.197	0.198	0.209	0.168	0.172	0.164	0.175	0.166	0.139	0.153	0.122	0.141	0.106	0.095	0.09	0.076	0.077	0.052	0.052	0.041	0.04	0.033	0.031	0.029	0.019	0.014	
0.372	0.339	0.314	0.313	0.279	0.305	0.282	0.234	0.223	0.226	0.203	0.204	0.203	0.167	0.169	0.139	0.147	0.132	0.123	0.131	0.113	0.09	0.096	0.096	0.085	0.092	0.081	0.067	0.054	0.062	0.069	0.048	0.034	0.035	0.037	0.022	0.02	0.026	0.02	0.02	0.024	0.013	0.012	0.012	0.006	0.013	0.01	0.007	0.006	0.004	0.007	0.007	0.002	0.002	0.004	0.002	0	0	0.002	0	0	0.002	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0.811	0.819	0.826	0.794	0.817	0.803	0.797	0.826	0.817	0.843	0.798	0.809	0.798	0.806	0.806	0.802	0.807	0.797	0.782	0.802	0.775	0.781	0.795	0.791	0.774	0.757	0.799	0.791	0.782	0.785	0.788	0.773	0.757	0.769	0.788	0.785	0.791	0.787	0.799	0.782	0.758	0.77	0.767	0.78	0.778	0.767	0.763	0.802	0.796	0.774	0.763	0.771	0.773	0.794	0.788	0.784	0.797	0.784	0.766	0.77	0.77	0.762	0.782	0.766	0.766	0.764	0.765	0.75	0.771	0.751	0.778	0.732	0.75	0.719	0.731	0.745	0.716	0.713	0.689	0.676	0.681	0.665	0.654	0.645	0.608	0.59	0.577	0.538	0.522	0.513	0.477	0.478	0.42	0.378	0.346	0.35	0.273	0.266	0.222	0.174	
0.47	0.446	0.448	0.429	0.434	0.455	0.439	0.4	0.4	0.41	0.398	0.38	0.392	0.379	0.36	0.367	0.366	0.35	0.331	0.32	0.324	0.335	0.32	0.321	0.319	0.295	0.321	0.311	0.307	0.313	0.297	0.299	0.284	0.257	0.281	0.281	0.275	0.268	0.26	0.261	0.269	0.236	0.275	0.238	0.242	0.251	0.247	0.249	0.265	0.229	0.237	0.223	0.237	0.207	0.21	0.198	0.209	0.223	0.2	0.21	0.195	0.194	0.192	0.197	0.187	0.174	0.186	0.188	0.151	0.157	0.181	0.164	0.171	0.171	0.148	0.16	0.166	0.139	0.134	0.141	0.122	0.143	0.14	0.141	0.128	0.152	0.113	0.116	0.143	0.133	0.128	0.103	0.122	0.129	0.118	0.134	0.144	0.132	0.128	0.128	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	1	1	0.999	1	1	1	1	1	1	1	0.999	0.999	1	0.997	0.998	0.998	0.997	0.999	0.999	0.996	0.997	0.996	0.993	0.991	0.984	0.986	0.992	0.981	0.983	0.979	0.975	0.96	0.969	0.958	0.938	0.945	0.936	0.934	0.902	0.916	0.908	0.889	0.872	0.861	0.847	0.832	0.828	0.806	0.771	0.767	0.746	0.711	0.704	0.69	0.681	0.657	0.655	0.589	0.6	0.578	0.579	0.51	0.491	0.452	0.447	0.429	0.383	0.361	0.323	0.324	0.279	0.278	0.275	0.236	0.211	0.218	0.187	0.171	0.134	0.124	0.105	0.083	0.078	0.06	0.065	0.049	0.038	0.029	0.026	0.03	0.015	0.014	0.009	0.012	0.003	0.005	0.002	0.004	0.005	
